id	ibge	localidade	valor	label
1	3500105	Adamantina	1382	População em Idade Escolar de 0 a 3 Anos: 1.382
2	3500204	Adolfo	133	População em Idade Escolar de 0 a 3 Anos: 133
3	3500303	Aguaí	1897	População em Idade Escolar de 0 a 3 Anos: 1.897
4	3500402	Águas da Prata	302	População em Idade Escolar de 0 a 3 Anos: 302
5	3500501	Águas de Lindóia	975	População em Idade Escolar de 0 a 3 Anos: 975
6	3500600	Águas de São Pedro	134	População em Idade Escolar de 0 a 3 Anos: 134
7	3500709	Agudos	1834	População em Idade Escolar de 0 a 3 Anos: 1.834
8	3500808	Alfredo Marcondes	146	População em Idade Escolar de 0 a 3 Anos: 146
9	3500907	Altair	192	População em Idade Escolar de 0 a 3 Anos: 192
10	3501004	Altinópolis	703	População em Idade Escolar de 0 a 3 Anos: 703
11	3501103	Alto Alegre	150	População em Idade Escolar de 0 a 3 Anos: 150
12	3501202	Álvares Florence	106	População em Idade Escolar de 0 a 3 Anos: 106
13	3501301	Álvares Machado	1044	População em Idade Escolar de 0 a 3 Anos: 1.044
14	3501400	Álvaro de Carvalho	233	População em Idade Escolar de 0 a 3 Anos: 233
15	3501509	Alvinlândia	189	População em Idade Escolar de 0 a 3 Anos: 189
16	3501608	Americana	10111	População em Idade Escolar de 0 a 3 Anos: 10.111
17	3501707	Américo Brasiliense	2271	População em Idade Escolar de 0 a 3 Anos: 2.271
18	3501806	Américo de Campos	220	População em Idade Escolar de 0 a 3 Anos: 220
19	3501905	Amparo	2976	População em Idade Escolar de 0 a 3 Anos: 2.976
20	3502002	Analândia	232	População em Idade Escolar de 0 a 3 Anos: 232
21	3502101	Andradina	2513	População em Idade Escolar de 0 a 3 Anos: 2.513
22	3502200	Angatuba	1286	População em Idade Escolar de 0 a 3 Anos: 1.286
23	3502309	Anhembi	350	População em Idade Escolar de 0 a 3 Anos: 350
24	3502408	Anhumas	178	População em Idade Escolar de 0 a 3 Anos: 178
25	3502507	Aparecida	1752	População em Idade Escolar de 0 a 3 Anos: 1.752
26	3502606	Aparecida d'Oeste	161	População em Idade Escolar de 0 a 3 Anos: 161
27	3502705	Apiaí	1380	População em Idade Escolar de 0 a 3 Anos: 1.380
28	3502804	Araçatuba	8114	População em Idade Escolar de 0 a 3 Anos: 8.114
29	3502903	Araçoiaba da Serra	1779	População em Idade Escolar de 0 a 3 Anos: 1.779
30	3503000	Aramina	257	População em Idade Escolar de 0 a 3 Anos: 257
31	3503109	Arandu	311	População em Idade Escolar de 0 a 3 Anos: 311
32	3503208	Araraquara	9834	População em Idade Escolar de 0 a 3 Anos: 9.834
33	3503307	Araras	5855	População em Idade Escolar de 0 a 3 Anos: 5.855
34	3503406	Arealva	361	População em Idade Escolar de 0 a 3 Anos: 361
35	3503505	Areias	223	População em Idade Escolar de 0 a 3 Anos: 223
