id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	132830	Matrículas no  ET profissionalizante: 132.830
682	682	Região Administrativa de Registro	1165	Matrículas no  ET profissionalizante: 1.165
683	683	Região Administrativa de Santos	14632	Matrículas no  ET profissionalizante: 14.632
684	684	Região Administrativa de São José dos Campos	25815	Matrículas no  ET profissionalizante: 25.815
685	685	Região Administrativa de Sorocaba	21383	Matrículas no  ET profissionalizante: 21.383
686	686	Região Administrativa de Campinas	60124	Matrículas no  ET profissionalizante: 60.124
687	687	Região Administrativa de Ribeirão Preto	8322	Matrículas no  ET profissionalizante: 8.322
688	688	Região Administrativa de Bauru	9683	Matrículas no  ET profissionalizante: 9.683
689	689	Região Administrativa de São José do Rio Preto	11451	Matrículas no  ET profissionalizante: 11.451
690	690	Região Administrativa de Araçatuba	5893	Matrículas no  ET profissionalizante: 5.893
691	691	Região Administrativa de Presidente Prudente	7490	Matrículas no  ET profissionalizante: 7.490
692	692	Região Administrativa de Marília	9305	Matrículas no  ET profissionalizante: 9.305
693	693	Região Administrativa Central	8910	Matrículas no  ET profissionalizante: 8.910
694	694	Região Administrativa de Barretos	4706	Matrículas no  ET profissionalizante: 4.706
695	695	Região Administrativa de Franca	7471	Matrículas no  ET profissionalizante: 7.471
