id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	150933	Matrículas no  ET profissionalizante: 150.933
682	682	Região Administrativa de Registro	1639	Matrículas no  ET profissionalizante: 1.639
683	683	Região Administrativa de Santos	17109	Matrículas no  ET profissionalizante: 17.109
684	684	Região Administrativa de São José dos Campos	29128	Matrículas no  ET profissionalizante: 29.128
685	685	Região Administrativa de Sorocaba	23004	Matrículas no  ET profissionalizante: 23.004
686	686	Região Administrativa de Campinas	61094	Matrículas no  ET profissionalizante: 61.094
687	687	Região Administrativa de Ribeirão Preto	8407	Matrículas no  ET profissionalizante: 8.407
688	688	Região Administrativa de Bauru	8960	Matrículas no  ET profissionalizante: 8.960
689	689	Região Administrativa de São José do Rio Preto	11586	Matrículas no  ET profissionalizante: 11.586
690	690	Região Administrativa de Araçatuba	5918	Matrículas no  ET profissionalizante: 5.918
691	691	Região Administrativa de Presidente Prudente	7132	Matrículas no  ET profissionalizante: 7.132
692	692	Região Administrativa de Marília	9840	Matrículas no  ET profissionalizante: 9.840
693	693	Região Administrativa Central	11024	Matrículas no  ET profissionalizante: 11.024
694	694	Região Administrativa de Barretos	4224	Matrículas no  ET profissionalizante: 4.224
695	695	Região Administrativa de Franca	6964	Matrículas no  ET profissionalizante: 6.964
