   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Ouro Verde";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Ouroeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Pacaembu";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Palestina";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Palmares Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Palmeira d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Palmital";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Panorama";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Paraguaçu Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Paraibuna";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Paraíso";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Paranapanema";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Paranapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Parapuã";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Pardinho";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Pariquera-Açu";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Parisi";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Patrocínio Paulista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Paulicéia";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Paulínia";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Paulistânia";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Paulo de Faria";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Pederneiras";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Pedra Bela";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Pedranópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Pedregulho";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Pedreira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Pedrinhas Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Pedro de Toledo";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Penápolis";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Pereira Barreto";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Pereiras";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Peruíbe";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Piacatu";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Piedade";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Pilar do Sul";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Pindamonhangaba";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Pindorama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Pinhalzinho";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Piquerobi";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Piquete";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Piracaia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Piracicaba";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Piraju";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Pirajuí";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Pirangi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Pirapora do Bom Jesus";"-";"-";"Região Metropolitana de São Paulo";
"Pirapozinho";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Pirassununga";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Piratininga";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Pitangueiras";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Planalto";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Platina";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Poá";"-";"-";"Região Metropolitana de São Paulo";
"Poloni";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Pompéia";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Pongaí";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Pontal";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Pontalinda";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Pontes Gestal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Populina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Porangaba";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Porto Feliz";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Porto Ferreira";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Potim";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Potirendaba";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Pracinha";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Pradópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Praia Grande";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Pratânia";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Presidente Alves";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Presidente Bernardes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Epitácio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Prudente";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Presidente Venceslau";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Promissão";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Quadra";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Quatá";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Queiroz";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Queluz";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Quintana";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Rafard";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Rancharia";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Redenção da Serra";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Regente Feijó";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Reginópolis";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Registro";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Restinga";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Ribeira";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeirão Bonito";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Ribeirão Branco";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeirão Corrente";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Ribeirão do Sul";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Ribeirão dos Índios";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Ribeirão Grande";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Ribeirão Pires";"-";"-";"Região Metropolitana de São Paulo";
"Ribeirão Preto";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Rifaina";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Rincão";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Rinópolis";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Rio Claro";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Rio das Pedras";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Rio Grande da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Riolândia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Riversul";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Rosana";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Roseira";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Rubiácea";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Rubinéia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Sabino";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Sagres";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Sales";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Sales Oliveira";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"Salesópolis";"-";"-";"Região Metropolitana de São Paulo";
"Salmourão";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Saltinho";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Salto";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Salto de Pirapora";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Salto Grande";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Sandovalina";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Santa Adélia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Santa Albertina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Bárbara d'Oeste";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Santa Branca";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santa Clara d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Cruz da Conceição";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Santa Cruz da Esperança";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santa Cruz das Palmeiras";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Santa Cruz do Rio Pardo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Santa Ernestina";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Santa Fé do Sul";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Gertrudes";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Santa Isabel";"-";"-";"Região Metropolitana de São Paulo";
"Santa Lucia";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Santa Maria da Serra";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Santa Mercedes";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Santa Rita d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santa Rita do Passa Quatro";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Santa Rosa do Viterbo";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santa Salete";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santana da Ponte Pensa";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Santana de Parnaíba";"-";"-";"Região Metropolitana de São Paulo";
"Santo Anastácio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Santo André";"-";"-";"Região Metropolitana de São Paulo";
"Santo Antonio da Alegria";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santo Antonio de Posse";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Santo Antonio do Aracanguá";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Santo Antonio do Jardim";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Santo Antonio do Pinhal";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santo Expedito";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Santópolis do Aguapeí";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Santos";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"São Bento do Sapucaí";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Bernardo do Campo";"-";"-";"Região Metropolitana de São Paulo";
"São Caetano do Sul";"-";"-";"Região Metropolitana de São Paulo";
"São Carlos";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"São Francisco";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"São João da Boa Vista";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São João das Duas Pontes";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"São João de Iracema";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"São João do Pau d'Alho";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"São Joaquim da Barra";"Região Administrativa de Franca";"Região de Governo de São Joaquim da Barra";"-";
"São José da Bela Vista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"São José do Barreiro";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São José do Rio Pardo";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São José do Rio Preto";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"São José dos Campos";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Lourenço da Serra";"-";"-";"Região Metropolitana de São Paulo";
"São Luís do Paraitinga";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Manuel";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"São Miguel Arcanjo";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"São Paulo";"-";"-";"Região Metropolitana de São Paulo";
"São Pedro";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"São Pedro do Turvo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"São Roque";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"São Sebastião";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Sebastião da Grama";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São Simão";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"São Vicente";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Sarapuí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Sarutaiá";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Sebastianópolis do Sul";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Serra Azul";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Serra Negra";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Serrana";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Sertãozinho";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Sete Barras";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Severínia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Silveiras";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Socorro";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Sorocaba";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Sud Mennucci";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Sumaré";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Suzanápolis";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Suzano";"-";"-";"Região Metropolitana de São Paulo";
"Tabapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Tabatinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Taboão da Serra";"-";"-";"Região Metropolitana de São Paulo";
"Taciba";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Taguaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Taiaçu";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Taiúva";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Tambaú";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Tanabi";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Tapiraí";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Tapiratiba";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Taquaral";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Taquaritinga";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Taquarituba";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Taquarivaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Tarabaí";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Tarumã";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Tatuí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Taubaté";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Tejupá";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Teodoro Sampaio";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Terra Roxa";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Tietê";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Timburi";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Torre de Pedra";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Torrinha";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Trabiju";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Tremembé";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Três Fronteiras";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Tuiuti";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Tupã";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Tupi Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Turiúba";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Turmalina";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Ubarana";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Ubatuba";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Ubirajara";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Uchôa";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"União Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Urânia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Uru";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Urupês";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Valentim Gentil";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Valinhos";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Valparaíso";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Vargem";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Vargem Grande do Sul";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Vargem Grande Paulista";"-";"-";"Região Metropolitana de São Paulo";
"Várzea Paulista";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Vera Cruz";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Vinhedo";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Viradouro";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Vista Alegre do Alto";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Vitória Brasil";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Votorantim";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Votuporanga";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Zacarias";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
