id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo		Distorção Idade-Série - Ensino Médio - Total: 
682	682	Região Administrativa de Registro		Distorção Idade-Série - Ensino Médio - Total: 
683	683	Região Administrativa de Santos		Distorção Idade-Série - Ensino Médio - Total: 
684	684	Região Administrativa de São José dos Campos		Distorção Idade-Série - Ensino Médio - Total: 
685	685	Região Administrativa de Sorocaba		Distorção Idade-Série - Ensino Médio - Total: 
686	686	Região Administrativa de Campinas		Distorção Idade-Série - Ensino Médio - Total: 
687	687	Região Administrativa de Ribeirão Preto		Distorção Idade-Série - Ensino Médio - Total: 
688	688	Região Administrativa de Bauru		Distorção Idade-Série - Ensino Médio - Total: 
689	689	Região Administrativa de São José do Rio Preto		Distorção Idade-Série - Ensino Médio - Total: 
690	690	Região Administrativa de Araçatuba		Distorção Idade-Série - Ensino Médio - Total: 
691	691	Região Administrativa de Presidente Prudente		Distorção Idade-Série - Ensino Médio - Total: 
692	692	Região Administrativa de Marília		Distorção Idade-Série - Ensino Médio - Total: 
693	693	Região Administrativa Central		Distorção Idade-Série - Ensino Médio - Total: 
694	694	Região Administrativa de Barretos		Distorção Idade-Série - Ensino Médio - Total: 
695	695	Região Administrativa de Franca		Distorção Idade-Série - Ensino Médio - Total: 
