id	ibge	localidade	valor	label
1	3500105	Adamantina		% da Receita própria em relação a Receita Total: ...
2	3500204	Adolfo	6.15	% da Receita própria em relação a Receita Total: 6,15
3	3500303	Aguaí		% da Receita própria em relação a Receita Total: ...
4	3500402	Águas da Prata	27.86	% da Receita própria em relação a Receita Total: 27,86
5	3500501	Águas de Lindóia		% da Receita própria em relação a Receita Total: ...
6	3500600	Águas de São Pedro	41.91	% da Receita própria em relação a Receita Total: 41,91
7	3500709	Agudos	9.62	% da Receita própria em relação a Receita Total: 9,62
8	3500808	Alfredo Marcondes	6.44	% da Receita própria em relação a Receita Total: 6,44
9	3500907	Altair	6.34	% da Receita própria em relação a Receita Total: 6,34
10	3501004	Altinópolis	19.85	% da Receita própria em relação a Receita Total: 19,85
11	3501103	Alto Alegre	8.91	% da Receita própria em relação a Receita Total: 8,91
12	3501202	Álvares Florence	8.70	% da Receita própria em relação a Receita Total: 8,70
13	3501301	Álvares Machado	12.38	% da Receita própria em relação a Receita Total: 12,38
14	3501400	Álvaro de Carvalho		% da Receita própria em relação a Receita Total: ...
15	3501509	Alvinlândia	3.53	% da Receita própria em relação a Receita Total: 3,53
16	3501608	Americana	38.28	% da Receita própria em relação a Receita Total: 38,28
17	3501707	Américo Brasiliense		% da Receita própria em relação a Receita Total: ...
18	3501806	Américo de Campos		% da Receita própria em relação a Receita Total: ...
19	3501905	Amparo	36.70	% da Receita própria em relação a Receita Total: 36,70
20	3502002	Analândia		% da Receita própria em relação a Receita Total: ...
21	3502101	Andradina		% da Receita própria em relação a Receita Total: ...
22	3502200	Angatuba	11.54	% da Receita própria em relação a Receita Total: 11,54
23	3502309	Anhembi		% da Receita própria em relação a Receita Total: ...
24	3502408	Anhumas	5.85	% da Receita própria em relação a Receita Total: 5,85
25	3502507	Aparecida	42.34	% da Receita própria em relação a Receita Total: 42,34
26	3502606	Aparecida d'Oeste		% da Receita própria em relação a Receita Total: ...
27	3502705	Apiaí		% da Receita própria em relação a Receita Total: ...
28	3502804	Araçatuba	42.57	% da Receita própria em relação a Receita Total: 42,57
29	3502903	Araçoiaba da Serra		% da Receita própria em relação a Receita Total: ...
30	3503000	Aramina	14.25	% da Receita própria em relação a Receita Total: 14,25
31	3503109	Arandu	19.88	% da Receita própria em relação a Receita Total: 19,88
32	3503208	Araraquara		% da Receita própria em relação a Receita Total: ...
33	3503307	Araras	39.80	% da Receita própria em relação a Receita Total: 39,80
34	3503406	Arealva	14.19	% da Receita própria em relação a Receita Total: 14,19
35	3503505	Areias		% da Receita própria em relação a Receita Total: ...
36	3503604	Areiópolis		% da Receita própria em relação a Receita Total: ...
37	3503703	Ariranha	9.83	% da Receita própria em relação a Receita Total: 9,83
38	3503802	Artur Nogueira	31.13	% da Receita própria em relação a Receita Total: 31,13
39	3503901	Arujá	40.17	% da Receita própria em relação a Receita Total: 40,17
40	3504008	Assis		% da Receita própria em relação a Receita Total: ...
41	3504107	Atibaia	54.28	% da Receita própria em relação a Receita Total: 54,28
42	3504206	Auriflama	8.34	% da Receita própria em relação a Receita Total: 8,34
43	3504305	Avaí	7.55	% da Receita própria em relação a Receita Total: 7,55
44	3504404	Avanhandava	12.95	% da Receita própria em relação a Receita Total: 12,95
645	3554755	Trabiju		% da Receita própria em relação a Receita Total: ...
45	3504503	Avaré	36.97	% da Receita própria em relação a Receita Total: 36,97
46	3504602	Bady Bassitt	25.97	% da Receita própria em relação a Receita Total: 25,97
47	3504701	Balbinos		% da Receita própria em relação a Receita Total: ...
48	3504800	Bálsamo	16.94	% da Receita própria em relação a Receita Total: 16,94
49	3504909	Bananal	7.97	% da Receita própria em relação a Receita Total: 7,97
50	3505005	Barão de Antonina		% da Receita própria em relação a Receita Total: ...
51	3505104	Barbosa	14.09	% da Receita própria em relação a Receita Total: 14,09
52	3505203	Bariri	26.33	% da Receita própria em relação a Receita Total: 26,33
53	3505302	Barra Bonita	19.71	% da Receita própria em relação a Receita Total: 19,71
54	3505401	Barra do Turvo		% da Receita própria em relação a Receita Total: ...
55	3505500	Barretos	51.82	% da Receita própria em relação a Receita Total: 51,82
56	3505609	Barrinha		% da Receita própria em relação a Receita Total: ...
57	3505708	Barueri		% da Receita própria em relação a Receita Total: ...
58	3505807	Bastos	11.00	% da Receita própria em relação a Receita Total: 11,00
59	3505906	Batatais	28.74	% da Receita própria em relação a Receita Total: 28,74
60	3506003	Bauru		% da Receita própria em relação a Receita Total: ...
61	3506102	Bebedouro		% da Receita própria em relação a Receita Total: ...
62	3506201	Bento de Abreu		% da Receita própria em relação a Receita Total: ...
63	3506300	Bernardino de Campos	12.87	% da Receita própria em relação a Receita Total: 12,87
64	3506409	Bilac		% da Receita própria em relação a Receita Total: ...
65	3506508	Birigui	49.06	% da Receita própria em relação a Receita Total: 49,06
66	3506607	Biritiba Mirim	17.21	% da Receita própria em relação a Receita Total: 17,21
67	3506706	Boa Esperança do Sul	10.22	% da Receita própria em relação a Receita Total: 10,22
68	3506805	Bocaina	15.56	% da Receita própria em relação a Receita Total: 15,56
69	3506904	Bofete	18.42	% da Receita própria em relação a Receita Total: 18,42
70	3507001	Boituva	32.83	% da Receita própria em relação a Receita Total: 32,83
71	3507100	Bom Jesus dos Perdões	40.83	% da Receita própria em relação a Receita Total: 40,83
72	3507209	Borá		% da Receita própria em relação a Receita Total: ...
73	3507308	Boracéia	11.27	% da Receita própria em relação a Receita Total: 11,27
74	3507407	Borborema	24.45	% da Receita própria em relação a Receita Total: 24,45
75	3507506	Botucatu	34.34	% da Receita própria em relação a Receita Total: 34,34
76	3507605	Bragança Paulista		% da Receita própria em relação a Receita Total: ...
77	3507704	Braúna		% da Receita própria em relação a Receita Total: ...
78	3507803	Brodowski	26.34	% da Receita própria em relação a Receita Total: 26,34
79	3507902	Brotas	32.28	% da Receita própria em relação a Receita Total: 32,28
80	3508009	Buri	12.62	% da Receita própria em relação a Receita Total: 12,62
81	3508108	Buritama		% da Receita própria em relação a Receita Total: ...
82	3508207	Buritizal	11.61	% da Receita própria em relação a Receita Total: 11,61
83	3508306	Cabrália Paulista	5.37	% da Receita própria em relação a Receita Total: 5,37
84	3508405	Cabreúva	17.91	% da Receita própria em relação a Receita Total: 17,91
85	3508504	Caçapava	17.30	% da Receita própria em relação a Receita Total: 17,30
86	3508603	Cachoeira Paulista	26.76	% da Receita própria em relação a Receita Total: 26,76
87	3508702	Caconde	18.60	% da Receita própria em relação a Receita Total: 18,60
88	3508801	Cafelândia		% da Receita própria em relação a Receita Total: ...
89	3508900	Caiabu	3.69	% da Receita própria em relação a Receita Total: 3,69
90	3509007	Caieiras	41.00	% da Receita própria em relação a Receita Total: 41,00
91	3509106	Caiuá	15.24	% da Receita própria em relação a Receita Total: 15,24
92	3509205	Cajamar	28.81	% da Receita própria em relação a Receita Total: 28,81
93	3509304	Cajobi	8.72	% da Receita própria em relação a Receita Total: 8,72
94	3509403	Cajuru	10.24	% da Receita própria em relação a Receita Total: 10,24
95	3509502	Campinas	56.71	% da Receita própria em relação a Receita Total: 56,71
96	3509601	Campo Limpo Paulista	26.09	% da Receita própria em relação a Receita Total: 26,09
97	3509700	Campos do Jordão	45.40	% da Receita própria em relação a Receita Total: 45,40
98	3509809	Campos Novos Paulista	8.96	% da Receita própria em relação a Receita Total: 8,96
99	3509908	Cananéia	31.90	% da Receita própria em relação a Receita Total: 31,90
100	3510005	Cândido Mota	27.89	% da Receita própria em relação a Receita Total: 27,89
101	3510104	Cândido Rodrigues		% da Receita própria em relação a Receita Total: ...
102	3510203	Capão Bonito	16.11	% da Receita própria em relação a Receita Total: 16,11
103	3510302	Capela do Alto	13.83	% da Receita própria em relação a Receita Total: 13,83
104	3510401	Capivari		% da Receita própria em relação a Receita Total: ...
105	3510500	Caraguatatuba	48.23	% da Receita própria em relação a Receita Total: 48,23
106	3510609	Carapicuíba		% da Receita própria em relação a Receita Total: ...
107	3510708	Cardoso	28.15	% da Receita própria em relação a Receita Total: 28,15
108	3510807	Casa Branca	29.11	% da Receita própria em relação a Receita Total: 29,11
109	3510906	Cássia dos Coqueiros		% da Receita própria em relação a Receita Total: ...
110	3511003	Castilho	13.05	% da Receita própria em relação a Receita Total: 13,05
111	3511102	Catanduva	49.60	% da Receita própria em relação a Receita Total: 49,60
112	3511201	Catiguá		% da Receita própria em relação a Receita Total: ...
113	3511300	Cedral	27.37	% da Receita própria em relação a Receita Total: 27,37
114	3511409	Cerqueira César		% da Receita própria em relação a Receita Total: ...
115	3511508	Cerquilho	39.01	% da Receita própria em relação a Receita Total: 39,01
116	3511607	Cesário Lange		% da Receita própria em relação a Receita Total: ...
117	3511706	Charqueada		% da Receita própria em relação a Receita Total: ...
118	3557204	Chavantes	13.50	% da Receita própria em relação a Receita Total: 13,50
119	3511904	Clementina	12.26	% da Receita própria em relação a Receita Total: 12,26
120	3512001	Colina	20.25	% da Receita própria em relação a Receita Total: 20,25
121	3512100	Colômbia	2.49	% da Receita própria em relação a Receita Total: 2,49
122	3512209	Conchal	34.70	% da Receita própria em relação a Receita Total: 34,70
123	3512308	Conchas	13.91	% da Receita própria em relação a Receita Total: 13,91
124	3512407	Cordeirópolis	21.80	% da Receita própria em relação a Receita Total: 21,80
125	3512506	Coroados	6.03	% da Receita própria em relação a Receita Total: 6,03
126	3512605	Coronel Macedo	14.35	% da Receita própria em relação a Receita Total: 14,35
127	3512704	Corumbataí		% da Receita própria em relação a Receita Total: ...
128	3512803	Cosmópolis	30.52	% da Receita própria em relação a Receita Total: 30,52
129	3512902	Cosmorama	15.35	% da Receita própria em relação a Receita Total: 15,35
130	3513009	Cotia	40.61	% da Receita própria em relação a Receita Total: 40,61
131	3513108	Cravinhos	38.99	% da Receita própria em relação a Receita Total: 38,99
132	3513207	Cristais Paulista		% da Receita própria em relação a Receita Total: ...
133	3513306	Cruzália	5.43	% da Receita própria em relação a Receita Total: 5,43
134	3513405	Cruzeiro		% da Receita própria em relação a Receita Total: ...
135	3513504	Cubatão	24.69	% da Receita própria em relação a Receita Total: 24,69
136	3513603	Cunha	8.19	% da Receita própria em relação a Receita Total: 8,19
137	3513702	Descalvado	16.36	% da Receita própria em relação a Receita Total: 16,36
138	3513801	Diadema	41.35	% da Receita própria em relação a Receita Total: 41,35
139	3513900	Divinolândia	17.62	% da Receita própria em relação a Receita Total: 17,62
140	3514007	Dobrada		% da Receita própria em relação a Receita Total: ...
141	3514106	Dois Córregos		% da Receita própria em relação a Receita Total: ...
142	3514205	Dolcinópolis		% da Receita própria em relação a Receita Total: ...
143	3514304	Dourado		% da Receita própria em relação a Receita Total: ...
144	3514403	Dracena	24.10	% da Receita própria em relação a Receita Total: 24,10
145	3514502	Duartina	21.25	% da Receita própria em relação a Receita Total: 21,25
146	3514601	Dumont		% da Receita própria em relação a Receita Total: ...
147	3514700	Echaporã		% da Receita própria em relação a Receita Total: ...
148	3514809	Eldorado	12.15	% da Receita própria em relação a Receita Total: 12,15
149	3514908	Elias Fausto	16.21	% da Receita própria em relação a Receita Total: 16,21
150	3515004	Embu das Artes	31.84	% da Receita própria em relação a Receita Total: 31,84
151	3515103	Embu-Guaçu	32.95	% da Receita própria em relação a Receita Total: 32,95
152	3515202	Estrela d'Oeste	12.77	% da Receita própria em relação a Receita Total: 12,77
153	3515301	Estrela do Norte	5.09	% da Receita própria em relação a Receita Total: 5,09
154	3515400	Fartura	16.10	% da Receita própria em relação a Receita Total: 16,10
155	3515509	Fernandópolis	35.03	% da Receita própria em relação a Receita Total: 35,03
156	3515608	Fernando Prestes	13.92	% da Receita própria em relação a Receita Total: 13,92
157	3515707	Ferraz de Vasconcelos		% da Receita própria em relação a Receita Total: ...
158	3515806	Flora Rica		% da Receita própria em relação a Receita Total: ...
159	3515905	Floreal	22.50	% da Receita própria em relação a Receita Total: 22,50
160	3516002	Flórida Paulista	16.79	% da Receita própria em relação a Receita Total: 16,79
161	3516101	Florínia		% da Receita própria em relação a Receita Total: ...
162	3516200	Franca	35.13	% da Receita própria em relação a Receita Total: 35,13
163	3516309	Francisco Morato		% da Receita própria em relação a Receita Total: ...
164	3516408	Franco da Rocha	36.55	% da Receita própria em relação a Receita Total: 36,55
165	3516507	Gabriel Monteiro	6.41	% da Receita própria em relação a Receita Total: 6,41
166	3516606	Gália	12.25	% da Receita própria em relação a Receita Total: 12,25
167	3516705	Garça		% da Receita própria em relação a Receita Total: ...
168	3516804	Gastão Vidigal	13.36	% da Receita própria em relação a Receita Total: 13,36
169	3516903	General Salgado	17.87	% da Receita própria em relação a Receita Total: 17,87
170	3517000	Getulina		% da Receita própria em relação a Receita Total: ...
171	3517109	Glicério		% da Receita própria em relação a Receita Total: ...
172	3517208	Guaiçara	13.94	% da Receita própria em relação a Receita Total: 13,94
173	3517307	Guaimbê	11.06	% da Receita própria em relação a Receita Total: 11,06
174	3517406	Guaíra	24.86	% da Receita própria em relação a Receita Total: 24,86
175	3517505	Guapiaçu		% da Receita própria em relação a Receita Total: ...
176	3517604	Guapiara		% da Receita própria em relação a Receita Total: ...
177	3517703	Guará	14.70	% da Receita própria em relação a Receita Total: 14,70
178	3517802	Guaraçaí	9.74	% da Receita própria em relação a Receita Total: 9,74
179	3517901	Guaraci	29.35	% da Receita própria em relação a Receita Total: 29,35
180	3518008	Guarani d'Oeste	5.71	% da Receita própria em relação a Receita Total: 5,71
181	3518107	Guarantã	12.86	% da Receita própria em relação a Receita Total: 12,86
182	3518206	Guararapes	20.74	% da Receita própria em relação a Receita Total: 20,74
183	3518305	Guararema	25.47	% da Receita própria em relação a Receita Total: 25,47
