id	ibge	localidade	valor	label
1	3500105	Adamantina	755	População de 4 e 5 Anos: 755
2	3500204	Adolfo	89	População de 4 e 5 Anos: 89
3	3500303	Aguaí	914	População de 4 e 5 Anos: 914
4	3500402	Águas da Prata	179	População de 4 e 5 Anos: 179
5	3500501	Águas de Lindóia	416	População de 4 e 5 Anos: 416
6	3500600	Águas de São Pedro	48	População de 4 e 5 Anos: 48
7	3500709	Agudos	961	População de 4 e 5 Anos: 961
8	3500808	Alfredo Marcondes	91	População de 4 e 5 Anos: 91
9	3500907	Altair	113	População de 4 e 5 Anos: 113
10	3501004	Altinópolis	399	População de 4 e 5 Anos: 399
11	3501103	Alto Alegre	90	População de 4 e 5 Anos: 90
12	3501202	Álvares Florence	73	População de 4 e 5 Anos: 73
13	3501301	Álvares Machado	680	População de 4 e 5 Anos: 680
14	3501400	Álvaro de Carvalho	97	População de 4 e 5 Anos: 97
15	3501509	Alvinlândia	81	População de 4 e 5 Anos: 81
16	3501608	Americana	4831	População de 4 e 5 Anos: 4.831
17	3501707	Américo Brasiliense	987	População de 4 e 5 Anos: 987
18	3501806	Américo de Campos	125	População de 4 e 5 Anos: 125
19	3501905	Amparo	1561	População de 4 e 5 Anos: 1.561
20	3502002	Analândia	125	População de 4 e 5 Anos: 125
610	3540259	Pontalinda	113	População de 4 e 5 Anos: 113
611	3540754	Potim	549	População de 4 e 5 Anos: 549
612	3543253	Ribeirão Grande	219	População de 4 e 5 Anos: 219
613	3544251	Rosana	599	População de 4 e 5 Anos: 599
614	3545159	Saltinho	159	População de 4 e 5 Anos: 159
615	3549250	São João de Iracema	40	População de 4 e 5 Anos: 40
616	3549953	São Lourenço da Serra	396	População de 4 e 5 Anos: 396
617	3548054	Santo Antonio do Aracanguá	197	População de 4 e 5 Anos: 197
618	3552551	Suzanápolis	91	População de 4 e 5 Anos: 91
619	3553856	Taquarivaí	188	População de 4 e 5 Anos: 188
620	3553955	Tarumã	391	População de 4 e 5 Anos: 391
621	3554656	Torre de Pedra	59	População de 4 e 5 Anos: 59
622	3554953	Tuiuti	134	População de 4 e 5 Anos: 134
623	3555356	Ubarana	174	População de 4 e 5 Anos: 174
624	3556354	Vargem	213	População de 4 e 5 Anos: 213
625	3557154	Zacarias	56	População de 4 e 5 Anos: 56
626	3503356	Arco Íris	46	População de 4 e 5 Anos: 46
627	3507753	Brejo Alegre	71	População de 4 e 5 Anos: 71
628	3509957	Canas	141	População de 4 e 5 Anos: 141
629	3540853	Pracinha	51	População de 4 e 5 Anos: 51
630	3541059	Pratânia	143	População de 4 e 5 Anos: 143
631	3541653	Quadra	89	População de 4 e 5 Anos: 89
632	3546256	Santa Cruz da Esperança	55	População de 4 e 5 Anos: 55
633	3547650	Santa Salete	25	População de 4 e 5 Anos: 25
634	3556958	Vitória Brasil	42	População de 4 e 5 Anos: 42
635	3521150	Ipiguá	107	População de 4 e 5 Anos: 107
636	3553658	Taquaral	80	População de 4 e 5 Anos: 80
637	3515657	Fernão	46	População de 4 e 5 Anos: 46
638	3516853	Gavião Peixoto	137	População de 4 e 5 Anos: 137
639	3525854	Jumirim	83	População de 4 e 5 Anos: 83
640	3532157	Nantes	89	População de 4 e 5 Anos: 89
641	3532868	Nova Castilho	27	População de 4 e 5 Anos: 27
642	3534757	Ouroeste	200	População de 4 e 5 Anos: 200
643	3536570	Paulistânia	54	População de 4 e 5 Anos: 54
644	3543238	Ribeirão dos Índios	49	População de 4 e 5 Anos: 49
645	3554755	Trabiju	45	População de 4 e 5 Anos: 45
21	3502101	Andradina	1317	População de 4 e 5 Anos: 1.317
22	3502200	Angatuba	655	População de 4 e 5 Anos: 655
23	3502309	Anhembi	172	População de 4 e 5 Anos: 172
24	3502408	Anhumas	99	População de 4 e 5 Anos: 99
25	3502507	Aparecida	943	População de 4 e 5 Anos: 943
26	3502606	Aparecida d'Oeste	102	População de 4 e 5 Anos: 102
27	3502705	Apiaí	839	População de 4 e 5 Anos: 839
28	3502804	Araçatuba	4114	População de 4 e 5 Anos: 4.114
29	3502903	Araçoiaba da Serra	693	População de 4 e 5 Anos: 693
30	3503000	Aramina	123	População de 4 e 5 Anos: 123
31	3503109	Arandu	173	População de 4 e 5 Anos: 173
32	3503208	Araraquara	4680	População de 4 e 5 Anos: 4.680
33	3503307	Araras	2833	População de 4 e 5 Anos: 2.833
34	3503406	Arealva	193	População de 4 e 5 Anos: 193
35	3503505	Areias	122	População de 4 e 5 Anos: 122
36	3503604	Areiópolis	357	População de 4 e 5 Anos: 357
37	3503703	Ariranha	217	População de 4 e 5 Anos: 217
38	3503802	Artur Nogueira	1243	População de 4 e 5 Anos: 1.243
39	3503901	Arujá	2283	População de 4 e 5 Anos: 2.283
40	3504008	Assis	2253	População de 4 e 5 Anos: 2.253
41	3504107	Atibaia	3393	População de 4 e 5 Anos: 3.393
42	3504206	Auriflama	347	População de 4 e 5 Anos: 347
43	3504305	Avaí	143	População de 4 e 5 Anos: 143
44	3504404	Avanhandava	305	População de 4 e 5 Anos: 305
45	3504503	Avaré	2242	População de 4 e 5 Anos: 2.242
46	3504602	Bady Bassitt	354	População de 4 e 5 Anos: 354
47	3504701	Balbinos	43	População de 4 e 5 Anos: 43
48	3504800	Bálsamo	167	População de 4 e 5 Anos: 167
49	3504909	Bananal	285	População de 4 e 5 Anos: 285
50	3505005	Barão de Antonina	90	População de 4 e 5 Anos: 90
51	3505104	Barbosa	193	População de 4 e 5 Anos: 193
52	3505203	Bariri	811	População de 4 e 5 Anos: 811
53	3505302	Barra Bonita	804	População de 4 e 5 Anos: 804
54	3505401	Barra do Turvo	276	População de 4 e 5 Anos: 276
55	3505500	Barretos	2778	População de 4 e 5 Anos: 2.778
56	3505609	Barrinha	916	População de 4 e 5 Anos: 916
57	3505708	Barueri	7193	População de 4 e 5 Anos: 7.193
58	3505807	Bastos	585	População de 4 e 5 Anos: 585
59	3505906	Batatais	1450	População de 4 e 5 Anos: 1.450
60	3506003	Bauru	8756	População de 4 e 5 Anos: 8.756
61	3506102	Bebedouro	1914	População de 4 e 5 Anos: 1.914
62	3506201	Bento de Abreu	72	População de 4 e 5 Anos: 72
63	3506300	Bernardino de Campos	271	População de 4 e 5 Anos: 271
64	3506409	Bilac	148	População de 4 e 5 Anos: 148
65	3506508	Birigui	2582	População de 4 e 5 Anos: 2.582
66	3506607	Biritiba Mirim	907	População de 4 e 5 Anos: 907
67	3506706	Boa Esperança do Sul	404	População de 4 e 5 Anos: 404
68	3506805	Bocaina	289	População de 4 e 5 Anos: 289
69	3506904	Bofete	283	População de 4 e 5 Anos: 283
70	3507001	Boituva	1314	População de 4 e 5 Anos: 1.314
71	3507100	Bom Jesus dos Perdões	582	População de 4 e 5 Anos: 582
72	3507209	Borá	19	População de 4 e 5 Anos: 19
73	3507308	Boracéia	117	População de 4 e 5 Anos: 117
74	3507407	Borborema	374	População de 4 e 5 Anos: 374
75	3507506	Botucatu	3287	População de 4 e 5 Anos: 3.287
76	3507605	Bragança Paulista	3625	População de 4 e 5 Anos: 3.625
77	3507704	Braúna	116	População de 4 e 5 Anos: 116
78	3507803	Brodowski	570	População de 4 e 5 Anos: 570
79	3507902	Brotas	590	População de 4 e 5 Anos: 590
80	3508009	Buri	675	População de 4 e 5 Anos: 675
81	3508108	Buritama	365	População de 4 e 5 Anos: 365
