id	ibge	localidade	valor	label
1	3500105	Adamantina	744	População de 4 e 5 Anos: 744
2	3500204	Adolfo	66	População de 4 e 5 Anos: 66
3	3500303	Aguaí	956	População de 4 e 5 Anos: 956
4	3500402	Águas da Prata	150	População de 4 e 5 Anos: 150
5	3500501	Águas de Lindóia	552	População de 4 e 5 Anos: 552
6	3500600	Águas de São Pedro	74	População de 4 e 5 Anos: 74
7	3500709	Agudos	950	População de 4 e 5 Anos: 950
8	3500808	Alfredo Marcondes	76	População de 4 e 5 Anos: 76
9	3500907	Altair	91	População de 4 e 5 Anos: 91
10	3501004	Altinópolis	370	População de 4 e 5 Anos: 370
11	3501103	Alto Alegre	75	População de 4 e 5 Anos: 75
12	3501202	Álvares Florence	50	População de 4 e 5 Anos: 50
13	3501301	Álvares Machado	525	População de 4 e 5 Anos: 525
14	3501400	Álvaro de Carvalho	119	População de 4 e 5 Anos: 119
15	3501509	Alvinlândia	98	População de 4 e 5 Anos: 98
16	3501608	Americana	5384	População de 4 e 5 Anos: 5.384
17	3501707	Américo Brasiliense	1178	População de 4 e 5 Anos: 1.178
18	3501806	Américo de Campos	111	População de 4 e 5 Anos: 111
19	3501905	Amparo	1580	População de 4 e 5 Anos: 1.580
20	3502002	Analândia	112	População de 4 e 5 Anos: 112
610	3540259	Pontalinda	115	População de 4 e 5 Anos: 115
611	3540754	Potim	430	População de 4 e 5 Anos: 430
612	3543253	Ribeirão Grande	207	População de 4 e 5 Anos: 207
613	3544251	Rosana	442	População de 4 e 5 Anos: 442
614	3545159	Saltinho	150	População de 4 e 5 Anos: 150
615	3549250	São João de Iracema	38	População de 4 e 5 Anos: 38
616	3549953	São Lourenço da Serra	420	População de 4 e 5 Anos: 420
617	3548054	Santo Antonio do Aracanguá	182	População de 4 e 5 Anos: 182
618	3552551	Suzanápolis	112	População de 4 e 5 Anos: 112
619	3553856	Taquarivaí	175	População de 4 e 5 Anos: 175
620	3553955	Tarumã	415	População de 4 e 5 Anos: 415
621	3554656	Torre de Pedra	50	População de 4 e 5 Anos: 50
622	3554953	Tuiuti	144	População de 4 e 5 Anos: 144
623	3555356	Ubarana	160	População de 4 e 5 Anos: 160
624	3556354	Vargem	195	População de 4 e 5 Anos: 195
625	3557154	Zacarias	49	População de 4 e 5 Anos: 49
626	3503356	Arco Íris	39	População de 4 e 5 Anos: 39
627	3507753	Brejo Alegre	59	População de 4 e 5 Anos: 59
628	3509957	Canas	145	População de 4 e 5 Anos: 145
629	3540853	Pracinha	40	População de 4 e 5 Anos: 40
630	3541059	Pratânia	145	População de 4 e 5 Anos: 145
631	3541653	Quadra	77	População de 4 e 5 Anos: 77
632	3546256	Santa Cruz da Esperança	50	População de 4 e 5 Anos: 50
633	3547650	Santa Salete	25	População de 4 e 5 Anos: 25
634	3556958	Vitória Brasil	35	População de 4 e 5 Anos: 35
635	3521150	Ipiguá	117	População de 4 e 5 Anos: 117
636	3553658	Taquaral	68	População de 4 e 5 Anos: 68
637	3515657	Fernão	36	População de 4 e 5 Anos: 36
638	3516853	Gavião Peixoto	113	População de 4 e 5 Anos: 113
639	3525854	Jumirim	77	População de 4 e 5 Anos: 77
640	3532157	Nantes	88	População de 4 e 5 Anos: 88
641	3532868	Nova Castilho	27	População de 4 e 5 Anos: 27
642	3534757	Ouroeste	248	População de 4 e 5 Anos: 248
643	3536570	Paulistânia	37	População de 4 e 5 Anos: 37
644	3543238	Ribeirão dos Índios	41	População de 4 e 5 Anos: 41
645	3554755	Trabiju	42	População de 4 e 5 Anos: 42
21	3502101	Andradina	1344	População de 4 e 5 Anos: 1.344
22	3502200	Angatuba	640	População de 4 e 5 Anos: 640
23	3502309	Anhembi	163	População de 4 e 5 Anos: 163
24	3502408	Anhumas	89	População de 4 e 5 Anos: 89
25	3502507	Aparecida	931	População de 4 e 5 Anos: 931
26	3502606	Aparecida d'Oeste	82	População de 4 e 5 Anos: 82
27	3502705	Apiaí	698	População de 4 e 5 Anos: 698
28	3502804	Araçatuba	4276	População de 4 e 5 Anos: 4.276
29	3502903	Araçoiaba da Serra	893	População de 4 e 5 Anos: 893
30	3503000	Aramina	139	População de 4 e 5 Anos: 139
31	3503109	Arandu	157	População de 4 e 5 Anos: 157
32	3503208	Araraquara	5189	População de 4 e 5 Anos: 5.189
33	3503307	Araras	2999	População de 4 e 5 Anos: 2.999
34	3503406	Arealva	180	População de 4 e 5 Anos: 180
35	3503505	Areias	111	População de 4 e 5 Anos: 111
36	3503604	Areiópolis	313	População de 4 e 5 Anos: 313
37	3503703	Ariranha	219	População de 4 e 5 Anos: 219
38	3503802	Artur Nogueira	1298	População de 4 e 5 Anos: 1.298
39	3503901	Arujá	2899	População de 4 e 5 Anos: 2.899
40	3504008	Assis	2395	População de 4 e 5 Anos: 2.395
41	3504107	Atibaia	4083	População de 4 e 5 Anos: 4.083
42	3504206	Auriflama	294	População de 4 e 5 Anos: 294
43	3504305	Avaí	125	População de 4 e 5 Anos: 125
44	3504404	Avanhandava	315	População de 4 e 5 Anos: 315
45	3504503	Avaré	2218	População de 4 e 5 Anos: 2.218
46	3504602	Bady Bassitt	342	População de 4 e 5 Anos: 342
47	3504701	Balbinos	29	População de 4 e 5 Anos: 29
48	3504800	Bálsamo	179	População de 4 e 5 Anos: 179
49	3504909	Bananal	272	População de 4 e 5 Anos: 272
50	3505005	Barão de Antonina	80	População de 4 e 5 Anos: 80
51	3505104	Barbosa	199	População de 4 e 5 Anos: 199
52	3505203	Bariri	782	População de 4 e 5 Anos: 782
53	3505302	Barra Bonita	723	População de 4 e 5 Anos: 723
54	3505401	Barra do Turvo	236	População de 4 e 5 Anos: 236
55	3505500	Barretos	2730	População de 4 e 5 Anos: 2.730
56	3505609	Barrinha	968	População de 4 e 5 Anos: 968
57	3505708	Barueri	9920	População de 4 e 5 Anos: 9.920
58	3505807	Bastos	507	População de 4 e 5 Anos: 507
59	3505906	Batatais	1393	População de 4 e 5 Anos: 1.393
60	3506003	Bauru	8622	População de 4 e 5 Anos: 8.622
