id	ibge	localidade	valor	label
1	3500105	Adamantina	5396.40	PIB municipal per capta: 5.396,40
2	3500204	Adolfo	7437.48	PIB municipal per capta: 7.437,48
3	3500303	Aguaí	6914.91	PIB municipal per capta: 6.914,91
4	3500402	Águas da Prata	7150.58	PIB municipal per capta: 7.150,58
5	3500501	Águas de Lindóia	4522.86	PIB municipal per capta: 4.522,86
6	3500600	Águas de São Pedro	12356.36	PIB municipal per capta: 12.356,36
7	3500709	Agudos	9466.15	PIB municipal per capta: 9.466,15
8	3500808	Alfredo Marcondes	3804.61	PIB municipal per capta: 3.804,61
9	3500907	Altair	9332.95	PIB municipal per capta: 9.332,95
10	3501004	Altinópolis	6704.22	PIB municipal per capta: 6.704,22
11	3501103	Alto Alegre	3854.31	PIB municipal per capta: 3.854,31
12	3501202	Álvares Florence	3978.78	PIB municipal per capta: 3.978,78
13	3501301	Álvares Machado	3522.23	PIB municipal per capta: 3.522,23
14	3501400	Álvaro de Carvalho	3291.10	PIB municipal per capta: 3.291,10
15	3501509	Alvinlândia	3986.36	PIB municipal per capta: 3.986,36
16	3501608	Americana	13426.83	PIB municipal per capta: 13.426,83
17	3501707	Américo Brasiliense	4828.62	PIB municipal per capta: 4.828,62
18	3501806	Américo de Campos	3766.27	PIB municipal per capta: 3.766,27
19	3501905	Amparo	10162.54	PIB municipal per capta: 10.162,54
20	3502002	Analândia	8128.23	PIB municipal per capta: 8.128,23
21	3502101	Andradina	7727.96	PIB municipal per capta: 7.727,96
22	3502200	Angatuba	6080.85	PIB municipal per capta: 6.080,85
23	3502309	Anhembi	4622.97	PIB municipal per capta: 4.622,97
24	3502408	Anhumas	3731.78	PIB municipal per capta: 3.731,78
25	3502507	Aparecida	4578.36	PIB municipal per capta: 4.578,36
26	3502606	Aparecida d'Oeste	3824.09	PIB municipal per capta: 3.824,09
27	3502705	Apiaí	5656.07	PIB municipal per capta: 5.656,07
28	3502804	Araçatuba	7462.22	PIB municipal per capta: 7.462,22
29	3502903	Araçoiaba da Serra	4493.42	PIB municipal per capta: 4.493,42
30	3503000	Aramina	6433.90	PIB municipal per capta: 6.433,90
31	3503109	Arandu	3468.56	PIB municipal per capta: 3.468,56
32	3503208	Araraquara	10150.22	PIB municipal per capta: 10.150,22
33	3503307	Araras	11282.83	PIB municipal per capta: 11.282,83
34	3503406	Arealva	4513.09	PIB municipal per capta: 4.513,09
35	3503505	Areias	2930.69	PIB municipal per capta: 2.930,69
36	3503604	Areiópolis	3127.54	PIB municipal per capta: 3.127,54
37	3503703	Ariranha	17811.56	PIB municipal per capta: 17.811,56
38	3503802	Artur Nogueira	6104.27	PIB municipal per capta: 6.104,27
39	3503901	Arujá	7525.12	PIB municipal per capta: 7.525,12
40	3504008	Assis	6402.62	PIB municipal per capta: 6.402,62
41	3504107	Atibaia	6477.30	PIB municipal per capta: 6.477,30
42	3504206	Auriflama	4969.30	PIB municipal per capta: 4.969,30
