id	ibge	localidade	valor	label
1	3500105	Adamantina	1959	População de 6 a 10 Ano: 1.959
2	3500204	Adolfo	237	População de 6 a 10 Ano: 237
3	3500303	Aguaí	2362	População de 6 a 10 Ano: 2.362
4	3500402	Águas da Prata	457	População de 6 a 10 Ano: 457
5	3500501	Águas de Lindóia	1140	População de 6 a 10 Ano: 1.140
6	3500600	Águas de São Pedro	144	População de 6 a 10 Ano: 144
7	3500709	Agudos	2545	População de 6 a 10 Ano: 2.545
8	3500808	Alfredo Marcondes	238	População de 6 a 10 Ano: 238
9	3500907	Altair	287	População de 6 a 10 Ano: 287
10	3501004	Altinópolis	1104	População de 6 a 10 Ano: 1.104
11	3501103	Alto Alegre	232	População de 6 a 10 Ano: 232
12	3501202	Álvares Florence	207	População de 6 a 10 Ano: 207
13	3501301	Álvares Machado	1787	População de 6 a 10 Ano: 1.787
14	3501400	Álvaro de Carvalho	267	População de 6 a 10 Ano: 267
15	3501509	Alvinlândia	233	População de 6 a 10 Ano: 233
16	3501608	Americana	12745	População de 6 a 10 Ano: 12.745
17	3501707	Américo Brasiliense	2661	População de 6 a 10 Ano: 2.661
18	3501806	Américo de Campos	368	População de 6 a 10 Ano: 368
19	3501905	Amparo	4145	População de 6 a 10 Ano: 4.145
20	3502002	Analândia	316	População de 6 a 10 Ano: 316
21	3502101	Andradina	3476	População de 6 a 10 Ano: 3.476
22	3502200	Angatuba	1744	População de 6 a 10 Ano: 1.744
23	3502309	Anhembi	486	População de 6 a 10 Ano: 486
24	3502408	Anhumas	285	População de 6 a 10 Ano: 285
25	3502507	Aparecida	2386	População de 6 a 10 Ano: 2.386
26	3502606	Aparecida d'Oeste	285	População de 6 a 10 Ano: 285
27	3502705	Apiaí	2325	População de 6 a 10 Ano: 2.325
28	3502804	Araçatuba	10991	População de 6 a 10 Ano: 10.991
29	3502903	Araçoiaba da Serra	2028	População de 6 a 10 Ano: 2.028
30	3503000	Aramina	333	População de 6 a 10 Ano: 333
31	3503109	Arandu	477	População de 6 a 10 Ano: 477
32	3503208	Araraquara	12439	População de 6 a 10 Ano: 12.439
33	3503307	Araras	7583	População de 6 a 10 Ano: 7.583
34	3503406	Arealva	525	População de 6 a 10 Ano: 525
35	3503505	Areias	327	População de 6 a 10 Ano: 327
36	3503604	Areiópolis	929	População de 6 a 10 Ano: 929
37	3503703	Ariranha	580	População de 6 a 10 Ano: 580
38	3503802	Artur Nogueira	3399	População de 6 a 10 Ano: 3.399
39	3503901	Arujá	6393	População de 6 a 10 Ano: 6.393
40	3504008	Assis	5899	População de 6 a 10 Ano: 5.899
41	3504107	Atibaia	9329	População de 6 a 10 Ano: 9.329
42	3504206	Auriflama	876	População de 6 a 10 Ano: 876
43	3504305	Avaí	385	População de 6 a 10 Ano: 385
44	3504404	Avanhandava	799	População de 6 a 10 Ano: 799
45	3504503	Avaré	5876	População de 6 a 10 Ano: 5.876
46	3504602	Bady Bassitt	991	População de 6 a 10 Ano: 991
47	3504701	Balbinos	92	População de 6 a 10 Ano: 92
48	3504800	Bálsamo	455	População de 6 a 10 Ano: 455
49	3504909	Bananal	767	População de 6 a 10 Ano: 767
50	3505005	Barão de Antonina	260	População de 6 a 10 Ano: 260
627	3507753	Brejo Alegre	199	População de 6 a 10 Ano: 199
628	3509957	Canas	385	População de 6 a 10 Ano: 385
