id	ibge	localidade	valor	label
1	3500105	Adamantina	1775	População de 6 a 10 anos: 1.775
2	3500204	Adolfo	178	População de 6 a 10 anos: 178
3	3500303	Aguaí	2349	População de 6 a 10 anos: 2.349
4	3500402	Águas da Prata	392	População de 6 a 10 anos: 392
5	3500501	Águas de Lindóia	1182	População de 6 a 10 anos: 1.182
6	3500600	Águas de São Pedro	144	População de 6 a 10 anos: 144
7	3500709	Agudos	2357	População de 6 a 10 anos: 2.357
8	3500808	Alfredo Marcondes	187	População de 6 a 10 anos: 187
9	3500907	Altair	260	População de 6 a 10 anos: 260
10	3501004	Altinópolis	890	População de 6 a 10 anos: 890
11	3501103	Alto Alegre	200	População de 6 a 10 anos: 200
12	3501202	Álvares Florence	144	População de 6 a 10 anos: 144
13	3501301	Álvares Machado	1350	População de 6 a 10 anos: 1.350
14	3501400	Álvaro de Carvalho	275	População de 6 a 10 anos: 275
15	3501509	Alvinlândia	231	População de 6 a 10 anos: 231
16	3501608	Americana	12848	População de 6 a 10 anos: 12.848
17	3501707	Américo Brasiliense	2768	População de 6 a 10 anos: 2.768
18	3501806	Américo de Campos	287	População de 6 a 10 anos: 287
19	3501905	Amparo	3780	População de 6 a 10 anos: 3.780
20	3502002	Analândia	293	População de 6 a 10 anos: 293
21	3502101	Andradina	3238	População de 6 a 10 anos: 3.238
22	3502200	Angatuba	1570	População de 6 a 10 anos: 1.570
23	3502309	Anhembi	426	População de 6 a 10 anos: 426
24	3502408	Anhumas	221	População de 6 a 10 anos: 221
25	3502507	Aparecida	2264	População de 6 a 10 anos: 2.264
26	3502606	Aparecida d'Oeste	202	População de 6 a 10 anos: 202
27	3502705	Apiaí	1694	População de 6 a 10 anos: 1.694
28	3502804	Araçatuba	10615	População de 6 a 10 anos: 10.615
29	3502903	Araçoiaba da Serra	2033	População de 6 a 10 anos: 2.033
30	3503000	Aramina	319	População de 6 a 10 anos: 319
31	3503109	Arandu	378	População de 6 a 10 anos: 378
32	3503208	Araraquara	12540	População de 6 a 10 anos: 12.540
33	3503307	Araras	7383	População de 6 a 10 anos: 7.383
34	3503406	Arealva	435	População de 6 a 10 anos: 435
35	3503505	Areias	266	População de 6 a 10 anos: 266
36	3503604	Areiópolis	766	População de 6 a 10 anos: 766
37	3503703	Ariranha	558	População de 6 a 10 anos: 558
38	3503802	Artur Nogueira	3210	População de 6 a 10 anos: 3.210
39	3503901	Arujá	6268	População de 6 a 10 anos: 6.268
40	3504008	Assis	5882	População de 6 a 10 anos: 5.882
41	3504107	Atibaia	9074	População de 6 a 10 anos: 9.074
42	3504206	Auriflama	740	População de 6 a 10 anos: 740
43	3504305	Avaí	323	População de 6 a 10 anos: 323
44	3504404	Avanhandava	772	População de 6 a 10 anos: 772
45	3504503	Avaré	5489	População de 6 a 10 anos: 5.489
46	3504602	Bady Bassitt	881	População de 6 a 10 anos: 881
47	3504701	Balbinos	78	População de 6 a 10 anos: 78
48	3504800	Bálsamo	448	População de 6 a 10 anos: 448
49	3504909	Bananal	690	População de 6 a 10 anos: 690
50	3505005	Barão de Antonina	209	População de 6 a 10 anos: 209
627	3507753	Brejo Alegre	148	População de 6 a 10 anos: 148
628	3509957	Canas	373	População de 6 a 10 anos: 373
629	3540853	Pracinha	99	População de 6 a 10 anos: 99
630	3541059	Pratânia	334	População de 6 a 10 anos: 334
631	3541653	Quadra	216	População de 6 a 10 anos: 216
632	3546256	Santa Cruz da Esperança	131	População de 6 a 10 anos: 131
