id	ibge	localidade	valor	label
1	3500105	Adamantina	2295	População de 6 a 10 Ano: 2.295
2	3500204	Adolfo	279	População de 6 a 10 Ano: 279
3	3500303	Aguaí	2508	População de 6 a 10 Ano: 2.508
4	3500402	Águas da Prata	523	População de 6 a 10 Ano: 523
5	3500501	Águas de Lindóia	1251	População de 6 a 10 Ano: 1.251
6	3500600	Águas de São Pedro	137	População de 6 a 10 Ano: 137
7	3500709	Agudos	2873	População de 6 a 10 Ano: 2.873
8	3500808	Alfredo Marcondes	264	População de 6 a 10 Ano: 264
9	3500907	Altair	310	População de 6 a 10 Ano: 310
10	3501004	Altinópolis	1247	População de 6 a 10 Ano: 1.247
11	3501103	Alto Alegre	283	População de 6 a 10 Ano: 283
12	3501202	Álvares Florence	255	População de 6 a 10 Ano: 255
13	3501301	Álvares Machado	1993	População de 6 a 10 Ano: 1.993
14	3501400	Álvaro de Carvalho	295	População de 6 a 10 Ano: 295
15	3501509	Alvinlândia	247	População de 6 a 10 Ano: 247
16	3501608	Americana	13767	População de 6 a 10 Ano: 13.767
17	3501707	Américo Brasiliense	2729	População de 6 a 10 Ano: 2.729
18	3501806	Américo de Campos	401	População de 6 a 10 Ano: 401
19	3501905	Amparo	4600	População de 6 a 10 Ano: 4.600
20	3502002	Analândia	332	População de 6 a 10 Ano: 332
21	3502101	Andradina	4009	População de 6 a 10 Ano: 4.009
22	3502200	Angatuba	1830	População de 6 a 10 Ano: 1.830
23	3502309	Anhembi	456	População de 6 a 10 Ano: 456
24	3502408	Anhumas	293	População de 6 a 10 Ano: 293
25	3502507	Aparecida	2738	População de 6 a 10 Ano: 2.738
26	3502606	Aparecida d'Oeste	341	População de 6 a 10 Ano: 341
27	3502705	Apiaí	2709	População de 6 a 10 Ano: 2.709
28	3502804	Araçatuba	12164	População de 6 a 10 Ano: 12.164
29	3502903	Araçoiaba da Serra	1939	População de 6 a 10 Ano: 1.939
30	3503000	Aramina	375	População de 6 a 10 Ano: 375
31	3503109	Arandu	566	População de 6 a 10 Ano: 566
32	3503208	Araraquara	13445	População de 6 a 10 Ano: 13.445
33	3503307	Araras	8303	População de 6 a 10 Ano: 8.303
