id	ibge	localidade	valor	label
1	3500105	Adamantina	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
2	3500204	Adolfo	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
3	3500303	Aguaí	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
4	3500402	Águas da Prata	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
5	3500501	Águas de Lindóia	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
6	3500600	Águas de São Pedro	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
7	3500709	Agudos	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
8	3500808	Alfredo Marcondes	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
9	3500907	Altair	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
10	3501004	Altinópolis	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
11	3501103	Alto Alegre	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
12	3501202	Álvares Florence	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
13	3501301	Álvares Machado	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
14	3501400	Álvaro de Carvalho	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
15	3501509	Alvinlândia	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
16	3501608	Americana	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
17	3501707	Américo Brasiliense	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
18	3501806	Américo de Campos	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
19	3501905	Amparo	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
20	3502002	Analândia	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
21	3502101	Andradina	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
22	3502200	Angatuba	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
23	3502309	Anhembi	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
24	3502408	Anhumas	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
25	3502507	Aparecida	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
26	3502606	Aparecida d'Oeste	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
27	3502705	Apiaí	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
28	3502804	Araçatuba	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
29	3502903	Araçoiaba da Serra	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
30	3503000	Aramina	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
31	3503109	Arandu	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
32	3503208	Araraquara	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
33	3503307	Araras	314	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: 314
34	3503406	Arealva	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
35	3503505	Areias	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
36	3503604	Areiópolis	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
37	3503703	Ariranha	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
38	3503802	Artur Nogueira	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
39	3503901	Arujá	-	Matrículas no EJA no Ensino Fundamental integradas ao ensino profissionalizante: -
