id	ibge	localidade	valor	label
1	3500105	Adamantina	1444	População em Idade Escolar de 15 a 17 Anos: 1.444
2	3500204	Adolfo	153	População em Idade Escolar de 15 a 17 Anos: 153
3	3500303	Aguaí	1654	População em Idade Escolar de 15 a 17 Anos: 1.654
4	3500402	Águas da Prata	325	População em Idade Escolar de 15 a 17 Anos: 325
5	3500501	Águas de Lindóia	790	População em Idade Escolar de 15 a 17 Anos: 790
6	3500600	Águas de São Pedro	122	População em Idade Escolar de 15 a 17 Anos: 122
7	3500709	Agudos	1806	População em Idade Escolar de 15 a 17 Anos: 1.806
8	3500808	Alfredo Marcondes	164	População em Idade Escolar de 15 a 17 Anos: 164
9	3500907	Altair	196	População em Idade Escolar de 15 a 17 Anos: 196
10	3501004	Altinópolis	770	População em Idade Escolar de 15 a 17 Anos: 770
11	3501103	Alto Alegre	166	População em Idade Escolar de 15 a 17 Anos: 166
12	3501202	Álvares Florence	160	População em Idade Escolar de 15 a 17 Anos: 160
13	3501301	Álvares Machado	1196	População em Idade Escolar de 15 a 17 Anos: 1.196
14	3501400	Álvaro de Carvalho	155	População em Idade Escolar de 15 a 17 Anos: 155
15	3501509	Alvinlândia	165	População em Idade Escolar de 15 a 17 Anos: 165
16	3501608	Americana	9179	População em Idade Escolar de 15 a 17 Anos: 9.179
17	3501707	Américo Brasiliense	1844	População em Idade Escolar de 15 a 17 Anos: 1.844
18	3501806	Américo de Campos	254	População em Idade Escolar de 15 a 17 Anos: 254
19	3501905	Amparo	2929	População em Idade Escolar de 15 a 17 Anos: 2.929
20	3502002	Analândia	214	População em Idade Escolar de 15 a 17 Anos: 214
21	3502101	Andradina	2433	População em Idade Escolar de 15 a 17 Anos: 2.433
22	3502200	Angatuba	1168	População em Idade Escolar de 15 a 17 Anos: 1.168
23	3502309	Anhembi	322	População em Idade Escolar de 15 a 17 Anos: 322
24	3502408	Anhumas	201	População em Idade Escolar de 15 a 17 Anos: 201
25	3502507	Aparecida	1683	População em Idade Escolar de 15 a 17 Anos: 1.683
26	3502606	Aparecida d'Oeste	202	População em Idade Escolar de 15 a 17 Anos: 202
