id	ibge	localidade	valor	label
1	3500105	Adamantina	1567	População em Idade Escolar de 15 a 17 Anos: 1.567
2	3500204	Adolfo	158	População em Idade Escolar de 15 a 17 Anos: 158
3	3500303	Aguaí	1691	População em Idade Escolar de 15 a 17 Anos: 1.691
4	3500402	Águas da Prata	345	População em Idade Escolar de 15 a 17 Anos: 345
5	3500501	Águas de Lindóia	791	População em Idade Escolar de 15 a 17 Anos: 791
6	3500600	Águas de São Pedro	124	População em Idade Escolar de 15 a 17 Anos: 124
7	3500709	Agudos	1853	População em Idade Escolar de 15 a 17 Anos: 1.853
8	3500808	Alfredo Marcondes	172	População em Idade Escolar de 15 a 17 Anos: 172
9	3500907	Altair	202	População em Idade Escolar de 15 a 17 Anos: 202
10	3501004	Altinópolis	784	População em Idade Escolar de 15 a 17 Anos: 784
11	3501103	Alto Alegre	173	População em Idade Escolar de 15 a 17 Anos: 173
12	3501202	Álvares Florence	166	População em Idade Escolar de 15 a 17 Anos: 166
13	3501301	Álvares Machado	1238	População em Idade Escolar de 15 a 17 Anos: 1.238
14	3501400	Álvaro de Carvalho	142	População em Idade Escolar de 15 a 17 Anos: 142
15	3501509	Alvinlândia	155	População em Idade Escolar de 15 a 17 Anos: 155
16	3501608	Americana	9383	População em Idade Escolar de 15 a 17 Anos: 9.383
17	3501707	Américo Brasiliense	1820	População em Idade Escolar de 15 a 17 Anos: 1.820
18	3501806	Américo de Campos	243	População em Idade Escolar de 15 a 17 Anos: 243
19	3501905	Amparo	3020	População em Idade Escolar de 15 a 17 Anos: 3.020
20	3502002	Analândia	216	População em Idade Escolar de 15 a 17 Anos: 216
21	3502101	Andradina	2495	População em Idade Escolar de 15 a 17 Anos: 2.495
22	3502200	Angatuba	1176	População em Idade Escolar de 15 a 17 Anos: 1.176
23	3502309	Anhembi	302	População em Idade Escolar de 15 a 17 Anos: 302
24	3502408	Anhumas	191	População em Idade Escolar de 15 a 17 Anos: 191
25	3502507	Aparecida	1796	População em Idade Escolar de 15 a 17 Anos: 1.796
26	3502606	Aparecida d'Oeste	206	População em Idade Escolar de 15 a 17 Anos: 206
27	3502705	Apiaí	1566	População em Idade Escolar de 15 a 17 Anos: 1.566
28	3502804	Araçatuba	7950	População em Idade Escolar de 15 a 17 Anos: 7.950
29	3502903	Araçoiaba da Serra	1390	População em Idade Escolar de 15 a 17 Anos: 1.390
30	3503000	Aramina	257	População em Idade Escolar de 15 a 17 Anos: 257
31	3503109	Arandu	365	População em Idade Escolar de 15 a 17 Anos: 365
32	3503208	Araraquara	9244	População em Idade Escolar de 15 a 17 Anos: 9.244
33	3503307	Araras	5715	População em Idade Escolar de 15 a 17 Anos: 5.715
34	3503406	Arealva	359	População em Idade Escolar de 15 a 17 Anos: 359
35	3503505	Areias	216	População em Idade Escolar de 15 a 17 Anos: 216
36	3503604	Areiópolis	579	População em Idade Escolar de 15 a 17 Anos: 579
37	3503703	Ariranha	368	População em Idade Escolar de 15 a 17 Anos: 368
38	3503802	Artur Nogueira	2189	População em Idade Escolar de 15 a 17 Anos: 2.189
39	3503901	Arujá	4066	População em Idade Escolar de 15 a 17 Anos: 4.066
40	3504008	Assis	4299	População em Idade Escolar de 15 a 17 Anos: 4.299
41	3504107	Atibaia	6074	População em Idade Escolar de 15 a 17 Anos: 6.074
42	3504206	Auriflama	735	População em Idade Escolar de 15 a 17 Anos: 735
43	3504305	Avaí	309	População em Idade Escolar de 15 a 17 Anos: 309
44	3504404	Avanhandava	548	População em Idade Escolar de 15 a 17 Anos: 548
45	3504503	Avaré	3969	População em Idade Escolar de 15 a 17 Anos: 3.969
46	3504602	Bady Bassitt	692	População em Idade Escolar de 15 a 17 Anos: 692
47	3504701	Balbinos	31	População em Idade Escolar de 15 a 17 Anos: 31
