id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	1022715	População em Idade Escolar de 15 a 17 Anos: 1.022.715
682	682	Região Administrativa de Registro	17074	População em Idade Escolar de 15 a 17 Anos: 17.074
683	683	Região Administrativa de Santos	84028	População em Idade Escolar de 15 a 17 Anos: 84.028
684	684	Região Administrativa de São José dos Campos	120662	População em Idade Escolar de 15 a 17 Anos: 120.662
685	685	Região Administrativa de Sorocaba	150966	População em Idade Escolar de 15 a 17 Anos: 150.966
686	686	Região Administrativa de Campinas	313719	População em Idade Escolar de 15 a 17 Anos: 313.719
687	687	Região Administrativa de Ribeirão Preto	63099	População em Idade Escolar de 15 a 17 Anos: 63.099
688	688	Região Administrativa de Bauru	55285	População em Idade Escolar de 15 a 17 Anos: 55.285
689	689	Região Administrativa de São José do Rio Preto	71099	População em Idade Escolar de 15 a 17 Anos: 71.099
690	690	Região Administrativa de Araçatuba	37332	População em Idade Escolar de 15 a 17 Anos: 37.332
691	691	Região Administrativa de Presidente Prudente	44609	População em Idade Escolar de 15 a 17 Anos: 44.609
692	692	Região Administrativa de Marília	50341	População em Idade Escolar de 15 a 17 Anos: 50.341
693	693	Região Administrativa Central	49076	População em Idade Escolar de 15 a 17 Anos: 49.076
694	694	Região Administrativa de Barretos	23059	População em Idade Escolar de 15 a 17 Anos: 23.059
695	695	Região Administrativa de Franca	37238	População em Idade Escolar de 15 a 17 Anos: 37.238
