id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	898833	População em Idade Escolar de 15 a 17 Anos: 898.833
682	682	Região Administrativa de Registro	14654	População em Idade Escolar de 15 a 17 Anos: 14.654
683	683	Região Administrativa de Santos	78535	População em Idade Escolar de 15 a 17 Anos: 78.535
684	684	Região Administrativa de São José dos Campos	105874	População em Idade Escolar de 15 a 17 Anos: 105.874
685	685	Região Administrativa de Sorocaba	135801	População em Idade Escolar de 15 a 17 Anos: 135.801
686	686	Região Administrativa de Campinas	277058	População em Idade Escolar de 15 a 17 Anos: 277.058
687	687	Região Administrativa de Ribeirão Preto	55859	População em Idade Escolar de 15 a 17 Anos: 55.859
688	688	Região Administrativa de Bauru	45858	População em Idade Escolar de 15 a 17 Anos: 45.858
689	689	Região Administrativa de São José do Rio Preto	56624	População em Idade Escolar de 15 a 17 Anos: 56.624
690	690	Região Administrativa de Araçatuba	29703	População em Idade Escolar de 15 a 17 Anos: 29.703
691	691	Região Administrativa de Presidente Prudente	34538	População em Idade Escolar de 15 a 17 Anos: 34.538
692	692	Região Administrativa de Marília	40095	População em Idade Escolar de 15 a 17 Anos: 40.095
693	693	Região Administrativa Central	39978	População em Idade Escolar de 15 a 17 Anos: 39.978
694	694	Região Administrativa de Barretos	17564	População em Idade Escolar de 15 a 17 Anos: 17.564
695	695	Região Administrativa de Franca	32420	População em Idade Escolar de 15 a 17 Anos: 32.420
