id	ibge	localidade	valor	label
1	3500105	Adamantina	691	Demanda potencial de vagas em creche: 691
2	3500204	Adolfo	67	Demanda potencial de vagas em creche: 67
3	3500303	Aguaí	949	Demanda potencial de vagas em creche: 949
4	3500402	Águas da Prata	151	Demanda potencial de vagas em creche: 151
5	3500501	Águas de Lindóia	488	Demanda potencial de vagas em creche: 488
6	3500600	Águas de São Pedro	67	Demanda potencial de vagas em creche: 67
7	3500709	Agudos	917	Demanda potencial de vagas em creche: 917
8	3500808	Alfredo Marcondes	73	Demanda potencial de vagas em creche: 73
9	3500907	Altair	96	Demanda potencial de vagas em creche: 96
10	3501004	Altinópolis	352	Demanda potencial de vagas em creche: 352
11	3501103	Alto Alegre	75	Demanda potencial de vagas em creche: 75
12	3501202	Álvares Florence	53	Demanda potencial de vagas em creche: 53
13	3501301	Álvares Machado	522	Demanda potencial de vagas em creche: 522
14	3501400	Álvaro de Carvalho	117	Demanda potencial de vagas em creche: 117
15	3501509	Alvinlândia	95	Demanda potencial de vagas em creche: 95
16	3501608	Americana	5056	Demanda potencial de vagas em creche: 5.056
17	3501707	Américo Brasiliense	1136	Demanda potencial de vagas em creche: 1.136
18	3501806	Américo de Campos	110	Demanda potencial de vagas em creche: 110
19	3501905	Amparo	1488	Demanda potencial de vagas em creche: 1.488
20	3502002	Analândia	116	Demanda potencial de vagas em creche: 116
21	3502101	Andradina	1257	Demanda potencial de vagas em creche: 1.257
22	3502200	Angatuba	643	Demanda potencial de vagas em creche: 643
23	3502309	Anhembi	175	Demanda potencial de vagas em creche: 175
24	3502408	Anhumas	89	Demanda potencial de vagas em creche: 89
25	3502507	Aparecida	876	Demanda potencial de vagas em creche: 876
26	3502606	Aparecida d'Oeste	81	Demanda potencial de vagas em creche: 81
27	3502705	Apiaí	690	Demanda potencial de vagas em creche: 690
28	3502804	Araçatuba	4057	Demanda potencial de vagas em creche: 4.057
29	3502903	Araçoiaba da Serra	890	Demanda potencial de vagas em creche: 890
30	3503000	Aramina	129	Demanda potencial de vagas em creche: 129
31	3503109	Arandu	156	Demanda potencial de vagas em creche: 156
32	3503208	Araraquara	4917	Demanda potencial de vagas em creche: 4.917
33	3503307	Araras	2928	Demanda potencial de vagas em creche: 2.928
