id	ibge	localidade	valor	label
1	3500105	Adamantina	704	Demanda Potencial de Vagas na Creche: 704
2	3500204	Adolfo	68	Demanda Potencial de Vagas na Creche: 68
3	3500303	Aguaí	948	Demanda Potencial de Vagas na Creche: 948
4	3500402	Águas da Prata	152	Demanda Potencial de Vagas na Creche: 152
5	3500501	Águas de Lindóia	501	Demanda Potencial de Vagas na Creche: 501
6	3500600	Águas de São Pedro	68	Demanda Potencial de Vagas na Creche: 68
7	3500709	Agudos	928	Demanda Potencial de Vagas na Creche: 928
8	3500808	Alfredo Marcondes	75	Demanda Potencial de Vagas na Creche: 75
9	3500907	Altair	96	Demanda Potencial de Vagas na Creche: 96
10	3501004	Altinópolis	358	Demanda Potencial de Vagas na Creche: 358
11	3501103	Alto Alegre	76	Demanda Potencial de Vagas na Creche: 76
12	3501202	Álvares Florence	53	Demanda Potencial de Vagas na Creche: 53
13	3501301	Álvares Machado	526	Demanda Potencial de Vagas na Creche: 526
14	3501400	Álvaro de Carvalho	116	Demanda Potencial de Vagas na Creche: 116
15	3501509	Alvinlândia	95	Demanda Potencial de Vagas na Creche: 95
16	3501608	Americana	5118	Demanda Potencial de Vagas na Creche: 5.118
17	3501707	Américo Brasiliense	1140	Demanda Potencial de Vagas na Creche: 1.140
18	3501806	Américo de Campos	110	Demanda Potencial de Vagas na Creche: 110
19	3501905	Amparo	1509	Demanda Potencial de Vagas na Creche: 1.509
20	3502002	Analândia	115	Demanda Potencial de Vagas na Creche: 115
21	3502101	Andradina	1280	Demanda Potencial de Vagas na Creche: 1.280
22	3502200	Angatuba	640	Demanda Potencial de Vagas na Creche: 640
23	3502309	Anhembi	171	Demanda Potencial de Vagas na Creche: 171
24	3502408	Anhumas	90	Demanda Potencial de Vagas na Creche: 90
25	3502507	Aparecida	893	Demanda Potencial de Vagas na Creche: 893
26	3502606	Aparecida d'Oeste	82	Demanda Potencial de Vagas na Creche: 82
27	3502705	Apiaí	696	Demanda Potencial de Vagas na Creche: 696
28	3502804	Araçatuba	4115	Demanda Potencial de Vagas na Creche: 4.115
29	3502903	Araçoiaba da Serra	877	Demanda Potencial de Vagas na Creche: 877
30	3503000	Aramina	131	Demanda Potencial de Vagas na Creche: 131
31	3503109	Arandu	156	Demanda Potencial de Vagas na Creche: 156
32	3503208	Araraquara	4973	Demanda Potencial de Vagas na Creche: 4.973
33	3503307	Araras	2936	Demanda Potencial de Vagas na Creche: 2.936
34	3503406	Arealva	179	Demanda Potencial de Vagas na Creche: 179
35	3503505	Areias	111	Demanda Potencial de Vagas na Creche: 111
36	3503604	Areiópolis	306	Demanda Potencial de Vagas na Creche: 306
37	3503703	Ariranha	219	Demanda Potencial de Vagas na Creche: 219
628	3509957	Canas	150	Demanda Potencial de Vagas na Creche: 150
629	3540853	Pracinha	40	Demanda Potencial de Vagas na Creche: 40
630	3541059	Pratânia	142	Demanda Potencial de Vagas na Creche: 142
631	3541653	Quadra	82	Demanda Potencial de Vagas na Creche: 82
632	3546256	Santa Cruz da Esperança	50	Demanda Potencial de Vagas na Creche: 50
633	3547650	Santa Salete	25	Demanda Potencial de Vagas na Creche: 25
634	3556958	Vitória Brasil	37	Demanda Potencial de Vagas na Creche: 37
635	3521150	Ipiguá	117	Demanda Potencial de Vagas na Creche: 117
636	3553658	Taquaral	65	Demanda Potencial de Vagas na Creche: 65
637	3515657	Fernão	37	Demanda Potencial de Vagas na Creche: 37
638	3516853	Gavião Peixoto	114	Demanda Potencial de Vagas na Creche: 114
639	3525854	Jumirim	76	Demanda Potencial de Vagas na Creche: 76
640	3532157	Nantes	87	Demanda Potencial de Vagas na Creche: 87
641	3532868	Nova Castilho	28	Demanda Potencial de Vagas na Creche: 28
642	3534757	Ouroeste	242	Demanda Potencial de Vagas na Creche: 242
643	3536570	Paulistânia	37	Demanda Potencial de Vagas na Creche: 37
644	3543238	Ribeirão dos Índios	41	Demanda Potencial de Vagas na Creche: 41
645	3554755	Trabiju	43	Demanda Potencial de Vagas na Creche: 43
38	3503802	Artur Nogueira	1293	Demanda Potencial de Vagas na Creche: 1.293
39	3503901	Arujá	2768	Demanda Potencial de Vagas na Creche: 2.768
40	3504008	Assis	2315	Demanda Potencial de Vagas na Creche: 2.315
41	3504107	Atibaia	3812	Demanda Potencial de Vagas na Creche: 3.812
42	3504206	Auriflama	285	Demanda Potencial de Vagas na Creche: 285
43	3504305	Avaí	129	Demanda Potencial de Vagas na Creche: 129
44	3504404	Avanhandava	314	Demanda Potencial de Vagas na Creche: 314
45	3504503	Avaré	2145	Demanda Potencial de Vagas na Creche: 2.145
46	3504602	Bady Bassitt	345	Demanda Potencial de Vagas na Creche: 345
47	3504701	Balbinos	29	Demanda Potencial de Vagas na Creche: 29
48	3504800	Bálsamo	174	Demanda Potencial de Vagas na Creche: 174
49	3504909	Bananal	275	Demanda Potencial de Vagas na Creche: 275
50	3505005	Barão de Antonina	84	Demanda Potencial de Vagas na Creche: 84
51	3505104	Barbosa	199	Demanda Potencial de Vagas na Creche: 199
52	3505203	Bariri	781	Demanda Potencial de Vagas na Creche: 781
53	3505302	Barra Bonita	711	Demanda Potencial de Vagas na Creche: 711
54	3505401	Barra do Turvo	245	Demanda Potencial de Vagas na Creche: 245
55	3505500	Barretos	2657	Demanda Potencial de Vagas na Creche: 2.657
56	3505609	Barrinha	954	Demanda Potencial de Vagas na Creche: 954
57	3505708	Barueri	9015	Demanda Potencial de Vagas na Creche: 9.015
58	3505807	Bastos	502	Demanda Potencial de Vagas na Creche: 502
59	3505906	Batatais	1360	Demanda Potencial de Vagas na Creche: 1.360
60	3506003	Bauru	8302	Demanda Potencial de Vagas na Creche: 8.302
61	3506102	Bebedouro	1605	Demanda Potencial de Vagas na Creche: 1.605
62	3506201	Bento de Abreu	71	Demanda Potencial de Vagas na Creche: 71
63	3506300	Bernardino de Campos	270	Demanda Potencial de Vagas na Creche: 270
64	3506409	Bilac	163	Demanda Potencial de Vagas na Creche: 163
65	3506508	Birigui	2573	Demanda Potencial de Vagas na Creche: 2.573
66	3506607	Biritiba Mirim	911	Demanda Potencial de Vagas na Creche: 911
67	3506706	Boa Esperança do Sul	382	Demanda Potencial de Vagas na Creche: 382
68	3506805	Bocaina	304	Demanda Potencial de Vagas na Creche: 304
69	3506904	Bofete	285	Demanda Potencial de Vagas na Creche: 285
70	3507001	Boituva	1509	Demanda Potencial de Vagas na Creche: 1.509
71	3507100	Bom Jesus dos Perdões	635	Demanda Potencial de Vagas na Creche: 635
72	3507209	Borá	16	Demanda Potencial de Vagas na Creche: 16
73	3507308	Boracéia	128	Demanda Potencial de Vagas na Creche: 128
74	3507407	Borborema	330	Demanda Potencial de Vagas na Creche: 330
75	3507506	Botucatu	3421	Demanda Potencial de Vagas na Creche: 3.421
76	3507605	Bragança Paulista	4108	Demanda Potencial de Vagas na Creche: 4.108
77	3507704	Braúna	122	Demanda Potencial de Vagas na Creche: 122
78	3507803	Brodowski	560	Demanda Potencial de Vagas na Creche: 560
79	3507902	Brotas	614	Demanda Potencial de Vagas na Creche: 614
80	3508009	Buri	657	Demanda Potencial de Vagas na Creche: 657
81	3508108	Buritama	371	Demanda Potencial de Vagas na Creche: 371
82	3508207	Buritizal	97	Demanda Potencial de Vagas na Creche: 97
83	3508306	Cabrália Paulista	102	Demanda Potencial de Vagas na Creche: 102
84	3508405	Cabreúva	1414	Demanda Potencial de Vagas na Creche: 1.414
85	3508504	Caçapava	2343	Demanda Potencial de Vagas na Creche: 2.343
86	3508603	Cachoeira Paulista	776	Demanda Potencial de Vagas na Creche: 776
87	3508702	Caconde	462	Demanda Potencial de Vagas na Creche: 462
88	3508801	Cafelândia	426	Demanda Potencial de Vagas na Creche: 426
89	3508900	Caiabu	101	Demanda Potencial de Vagas na Creche: 101
90	3509007	Caieiras	2649	Demanda Potencial de Vagas na Creche: 2.649
91	3509106	Caiuá	119	Demanda Potencial de Vagas na Creche: 119
92	3509205	Cajamar	2367	Demanda Potencial de Vagas na Creche: 2.367
93	3509304	Cajobi	211	Demanda Potencial de Vagas na Creche: 211
94	3509403	Cajuru	708	Demanda Potencial de Vagas na Creche: 708
95	3509502	Campinas	27965	Demanda Potencial de Vagas na Creche: 27.965
96	3509601	Campo Limpo Paulista	2197	Demanda Potencial de Vagas na Creche: 2.197
97	3509700	Campos do Jordão	1483	Demanda Potencial de Vagas na Creche: 1.483
98	3509809	Campos Novos Paulista	120	Demanda Potencial de Vagas na Creche: 120
99	3509908	Cananéia	366	Demanda Potencial de Vagas na Creche: 366
100	3510005	Cândido Mota	685	Demanda Potencial de Vagas na Creche: 685
101	3510104	Cândido Rodrigues	54	Demanda Potencial de Vagas na Creche: 54
102	3510203	Capão Bonito	1337	Demanda Potencial de Vagas na Creche: 1.337
103	3510302	Capela do Alto	567	Demanda Potencial de Vagas na Creche: 567
104	3510401	Capivari	1455	Demanda Potencial de Vagas na Creche: 1.455
105	3510500	Caraguatatuba	3170	Demanda Potencial de Vagas na Creche: 3.170
106	3510609	Carapicuíba	11985	Demanda Potencial de Vagas na Creche: 11.985
107	3510708	Cardoso	244	Demanda Potencial de Vagas na Creche: 244
108	3510807	Casa Branca	711	Demanda Potencial de Vagas na Creche: 711
109	3510906	Cássia dos Coqueiros	54	Demanda Potencial de Vagas na Creche: 54
110	3511003	Castilho	518	Demanda Potencial de Vagas na Creche: 518
111	3511102	Catanduva	2478	Demanda Potencial de Vagas na Creche: 2.478
112	3511201	Catiguá	168	Demanda Potencial de Vagas na Creche: 168
113	3511300	Cedral	180	Demanda Potencial de Vagas na Creche: 180
114	3511409	Cerqueira César	498	Demanda Potencial de Vagas na Creche: 498
115	3511508	Cerquilho	1084	Demanda Potencial de Vagas na Creche: 1.084
116	3511607	Cesário Lange	433	Demanda Potencial de Vagas na Creche: 433
117	3511706	Charqueada	447	Demanda Potencial de Vagas na Creche: 447
118	3557204	Chavantes	343	Demanda Potencial de Vagas na Creche: 343
119	3511904	Clementina	240	Demanda Potencial de Vagas na Creche: 240
120	3512001	Colina	405	Demanda Potencial de Vagas na Creche: 405
121	3512100	Colômbia	168	Demanda Potencial de Vagas na Creche: 168
122	3512209	Conchal	774	Demanda Potencial de Vagas na Creche: 774
123	3512308	Conchas	446	Demanda Potencial de Vagas na Creche: 446
124	3512407	Cordeirópolis	620	Demanda Potencial de Vagas na Creche: 620
125	3512506	Coroados	129	Demanda Potencial de Vagas na Creche: 129
126	3512605	Coronel Macedo	113	Demanda Potencial de Vagas na Creche: 113
127	3512704	Corumbataí	92	Demanda Potencial de Vagas na Creche: 92
128	3512803	Cosmópolis	1810	Demanda Potencial de Vagas na Creche: 1.810
129	3512902	Cosmorama	130	Demanda Potencial de Vagas na Creche: 130
130	3513009	Cotia	7539	Demanda Potencial de Vagas na Creche: 7.539
131	3513108	Cravinhos	842	Demanda Potencial de Vagas na Creche: 842
132	3513207	Cristais Paulista	214	Demanda Potencial de Vagas na Creche: 214
133	3513306	Cruzália	47	Demanda Potencial de Vagas na Creche: 47
134	3513405	Cruzeiro	2054	Demanda Potencial de Vagas na Creche: 2.054
135	3513504	Cubatão	3513	Demanda Potencial de Vagas na Creche: 3.513
136	3513603	Cunha	528	Demanda Potencial de Vagas na Creche: 528
137	3513702	Descalvado	685	Demanda Potencial de Vagas na Creche: 685
138	3513801	Diadema	11894	Demanda Potencial de Vagas na Creche: 11.894
139	3513900	Divinolândia	254	Demanda Potencial de Vagas na Creche: 254
140	3514007	Dobrada	249	Demanda Potencial de Vagas na Creche: 249
141	3514106	Dois Córregos	787	Demanda Potencial de Vagas na Creche: 787
142	3514205	Dolcinópolis	40	Demanda Potencial de Vagas na Creche: 40
143	3514304	Dourado	179	Demanda Potencial de Vagas na Creche: 179
144	3514403	Dracena	947	Demanda Potencial de Vagas na Creche: 947
145	3514502	Duartina	262	Demanda Potencial de Vagas na Creche: 262
146	3514601	Dumont	216	Demanda Potencial de Vagas na Creche: 216
147	3514700	Echaporã	160	Demanda Potencial de Vagas na Creche: 160
148	3514809	Eldorado	502	Demanda Potencial de Vagas na Creche: 502
149	3514908	Elias Fausto	431	Demanda Potencial de Vagas na Creche: 431
150	3515004	Embu das Artes	8624	Demanda Potencial de Vagas na Creche: 8.624
151	3515103	Embu-Guaçu	1878	Demanda Potencial de Vagas na Creche: 1.878
152	3515202	Estrela d'Oeste	171	Demanda Potencial de Vagas na Creche: 171
153	3515301	Estrela do Norte	65	Demanda Potencial de Vagas na Creche: 65
154	3515400	Fartura	385	Demanda Potencial de Vagas na Creche: 385
155	3515509	Fernandópolis	1330	Demanda Potencial de Vagas na Creche: 1.330
156	3515608	Fernando Prestes	107	Demanda Potencial de Vagas na Creche: 107
157	3515707	Ferraz de Vasconcelos	5701	Demanda Potencial de Vagas na Creche: 5.701
158	3515806	Flora Rica	32	Demanda Potencial de Vagas na Creche: 32
159	3515905	Floreal	48	Demanda Potencial de Vagas na Creche: 48
160	3516002	Flórida Paulista	271	Demanda Potencial de Vagas na Creche: 271
161	3516101	Florínia	64	Demanda Potencial de Vagas na Creche: 64
162	3516200	Franca	8647	Demanda Potencial de Vagas na Creche: 8.647
163	3516309	Francisco Morato	5403	Demanda Potencial de Vagas na Creche: 5.403
164	3516408	Franco da Rocha	4399	Demanda Potencial de Vagas na Creche: 4.399
165	3516507	Gabriel Monteiro	49	Demanda Potencial de Vagas na Creche: 49
166	3516606	Gália	132	Demanda Potencial de Vagas na Creche: 132
167	3516705	Garça	954	Demanda Potencial de Vagas na Creche: 954
168	3516804	Gastão Vidigal	124	Demanda Potencial de Vagas na Creche: 124
169	3516903	General Salgado	217	Demanda Potencial de Vagas na Creche: 217
170	3517000	Getulina	239	Demanda Potencial de Vagas na Creche: 239
171	3517109	Glicério	116	Demanda Potencial de Vagas na Creche: 116
172	3517208	Guaiçara	318	Demanda Potencial de Vagas na Creche: 318
173	3517307	Guaimbê	145	Demanda Potencial de Vagas na Creche: 145
174	3517406	Guaíra	854	Demanda Potencial de Vagas na Creche: 854
175	3517505	Guapiaçu	452	Demanda Potencial de Vagas na Creche: 452
176	3517604	Guapiara	535	Demanda Potencial de Vagas na Creche: 535
177	3517703	Guará	566	Demanda Potencial de Vagas na Creche: 566
178	3517802	Guaraçaí	196	Demanda Potencial de Vagas na Creche: 196
179	3517901	Guaraci	292	Demanda Potencial de Vagas na Creche: 292
180	3518008	Guarani d'Oeste	37	Demanda Potencial de Vagas na Creche: 37
181	3518107	Guarantã	164	Demanda Potencial de Vagas na Creche: 164
182	3518206	Guararapes	779	Demanda Potencial de Vagas na Creche: 779
183	3518305	Guararema	852	Demanda Potencial de Vagas na Creche: 852
184	3518404	Guaratinguetá	2982	Demanda Potencial de Vagas na Creche: 2.982
185	3518503	Guareí	319	Demanda Potencial de Vagas na Creche: 319
186	3518602	Guariba	1045	Demanda Potencial de Vagas na Creche: 1.045
187	3518701	Guarujá	8841	Demanda Potencial de Vagas na Creche: 8.841
188	3518800	Guarulhos	39400	Demanda Potencial de Vagas na Creche: 39.400
189	3518909	Guzolândia	123	Demanda Potencial de Vagas na Creche: 123
190	3519006	Herculândia	236	Demanda Potencial de Vagas na Creche: 236
191	3519105	Iacanga	273	Demanda Potencial de Vagas na Creche: 273
192	3519204	Iacri	146	Demanda Potencial de Vagas na Creche: 146
193	3519303	Ibaté	950	Demanda Potencial de Vagas na Creche: 950
194	3519402	Ibirá	285	Demanda Potencial de Vagas na Creche: 285
195	3519501	Ibirarema	187	Demanda Potencial de Vagas na Creche: 187
196	3519600	Ibitinga	1382	Demanda Potencial de Vagas na Creche: 1.382
197	3519709	Ibiúna	2042	Demanda Potencial de Vagas na Creche: 2.042
198	3519808	Icém	226	Demanda Potencial de Vagas na Creche: 226
199	3519907	Iepê	199	Demanda Potencial de Vagas na Creche: 199
200	3520004	Igaraçu do Tietê	608	Demanda Potencial de Vagas na Creche: 608
201	3520103	Igarapava	693	Demanda Potencial de Vagas na Creche: 693
202	3520202	Igaratá	255	Demanda Potencial de Vagas na Creche: 255
203	3520301	Iguape	749	Demanda Potencial de Vagas na Creche: 749
204	3520400	Ilhabela	977	Demanda Potencial de Vagas na Creche: 977
205	3520509	Indaiatuba	5831	Demanda Potencial de Vagas na Creche: 5.831
206	3520608	Indiana	109	Demanda Potencial de Vagas na Creche: 109
207	3520707	Indiaporã	94	Demanda Potencial de Vagas na Creche: 94
208	3520806	Inúbia Paulista	91	Demanda Potencial de Vagas na Creche: 91
