id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo		% da Receita própria em relação a Receita Total: ...
682	682	Região Administrativa de Registro		% da Receita própria em relação a Receita Total: ...
683	683	Região Administrativa de Santos	53.49	% da Receita própria em relação a Receita Total: 53,49
684	684	Região Administrativa de São José dos Campos	37.44	% da Receita própria em relação a Receita Total: 37,44
685	685	Região Administrativa de Sorocaba		% da Receita própria em relação a Receita Total: ...
686	686	Região Administrativa de Campinas		% da Receita própria em relação a Receita Total: ...
687	687	Região Administrativa de Ribeirão Preto		% da Receita própria em relação a Receita Total: ...
688	688	Região Administrativa de Bauru	30.76	% da Receita própria em relação a Receita Total: 30,76
689	689	Região Administrativa de São José do Rio Preto		% da Receita própria em relação a Receita Total: ...
690	690	Região Administrativa de Araçatuba	20.95	% da Receita própria em relação a Receita Total: 20,95
691	691	Região Administrativa de Presidente Prudente	20.74	% da Receita própria em relação a Receita Total: 20,74
692	692	Região Administrativa de Marília	25.94	% da Receita própria em relação a Receita Total: 25,94
693	693	Região Administrativa Central	28.65	% da Receita própria em relação a Receita Total: 28,65
694	694	Região Administrativa de Barretos	27.69	% da Receita própria em relação a Receita Total: 27,69
695	695	Região Administrativa de Franca	23.01	% da Receita própria em relação a Receita Total: 23,01
