id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
682	682	Região Administrativa de Registro	18.39	Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): 18,39
683	683	Região Administrativa de Santos		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
684	684	Região Administrativa de São José dos Campos		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
685	685	Região Administrativa de Sorocaba		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
686	686	Região Administrativa de Campinas		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
687	687	Região Administrativa de Ribeirão Preto		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
688	688	Região Administrativa de Bauru		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
689	689	Região Administrativa de São José do Rio Preto		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
690	690	Região Administrativa de Araçatuba	22.61	Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): 22,61
691	691	Região Administrativa de Presidente Prudente		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
692	692	Região Administrativa de Marília		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
693	693	Região Administrativa Central		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
694	694	Região Administrativa de Barretos		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
695	695	Região Administrativa de Franca		Participação da Receita Municipal Própria no Total da Receita Municipal (Em %): ...
