id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	549395	População de 4 e 5 Anos: 549.395
682	682	Região Administrativa de Registro	9182	População de 4 e 5 Anos: 9.182
683	683	Região Administrativa de Santos	46152	População de 4 e 5 Anos: 46.152
684	684	Região Administrativa de São José dos Campos	63480	População de 4 e 5 Anos: 63.480
685	685	Região Administrativa de Sorocaba	80363	População de 4 e 5 Anos: 80.363
686	686	Região Administrativa de Campinas	161707	População de 4 e 5 Anos: 161.707
687	687	Região Administrativa de Ribeirão Preto	33125	População de 4 e 5 Anos: 33.125
688	688	Região Administrativa de Bauru	27727	População de 4 e 5 Anos: 27.727
689	689	Região Administrativa de São José do Rio Preto	33831	População de 4 e 5 Anos: 33.831
690	690	Região Administrativa de Araçatuba	17959	População de 4 e 5 Anos: 17.959
691	691	Região Administrativa de Presidente Prudente	21559	População de 4 e 5 Anos: 21.559
692	692	Região Administrativa de Marília	24794	População de 4 e 5 Anos: 24.794
693	693	Região Administrativa Central	24179	População de 4 e 5 Anos: 24.179
694	694	Região Administrativa de Barretos	11035	População de 4 e 5 Anos: 11.035
695	695	Região Administrativa de Franca	20235	População de 4 e 5 Anos: 20.235
