id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	1496132	População de 6 a 10 Ano: 1.496.132
682	682	Região Administrativa de Registro	26653	População de 6 a 10 Ano: 26.653
683	683	Região Administrativa de Santos	124475	População de 6 a 10 Ano: 124.475
684	684	Região Administrativa de São José dos Campos	176142	População de 6 a 10 Ano: 176.142
685	685	Região Administrativa de Sorocaba	225384	População de 6 a 10 Ano: 225.384
686	686	Região Administrativa de Campinas	447379	População de 6 a 10 Ano: 447.379
687	687	Região Administrativa de Ribeirão Preto	90520	População de 6 a 10 Ano: 90.520
688	688	Região Administrativa de Bauru	77215	População de 6 a 10 Ano: 77.215
689	689	Região Administrativa de São José do Rio Preto	95912	População de 6 a 10 Ano: 95.912
690	690	Região Administrativa de Araçatuba	51350	População de 6 a 10 Ano: 51.350
691	691	Região Administrativa de Presidente Prudente	62228	População de 6 a 10 Ano: 62.228
692	692	Região Administrativa de Marília	70470	População de 6 a 10 Ano: 70.470
693	693	Região Administrativa Central	67750	População de 6 a 10 Ano: 67.750
694	694	Região Administrativa de Barretos	31603	População de 6 a 10 Ano: 31.603
695	695	Região Administrativa de Franca	55555	População de 6 a 10 Ano: 55.555
