id	ibge	localidade	valor	label
1	3500105	Adamantina	1330	População em Idade Escolar de 11 a 14 Anos: 1.330
2	3500204	Adolfo	152	População em Idade Escolar de 11 a 14 Anos: 152
3	3500303	Aguaí	1860	População em Idade Escolar de 11 a 14 Anos: 1.860
4	3500402	Águas da Prata	336	População em Idade Escolar de 11 a 14 Anos: 336
5	3500501	Águas de Lindóia	772	População em Idade Escolar de 11 a 14 Anos: 772
6	3500600	Águas de São Pedro	97	População em Idade Escolar de 11 a 14 Anos: 97
7	3500709	Agudos	1845	População em Idade Escolar de 11 a 14 Anos: 1.845
8	3500808	Alfredo Marcondes	149	População em Idade Escolar de 11 a 14 Anos: 149
9	3500907	Altair	231	População em Idade Escolar de 11 a 14 Anos: 231
10	3501004	Altinópolis	685	População em Idade Escolar de 11 a 14 Anos: 685
11	3501103	Alto Alegre	174	População em Idade Escolar de 11 a 14 Anos: 174
12	3501202	Álvares Florence	131	População em Idade Escolar de 11 a 14 Anos: 131
13	3501301	Álvares Machado	1120	População em Idade Escolar de 11 a 14 Anos: 1.120
14	3501400	Álvaro de Carvalho	207	População em Idade Escolar de 11 a 14 Anos: 207
15	3501509	Alvinlândia	171	População em Idade Escolar de 11 a 14 Anos: 171
16	3501608	Americana	9763	População em Idade Escolar de 11 a 14 Anos: 9.763
17	3501707	Américo Brasiliense	2083	População em Idade Escolar de 11 a 14 Anos: 2.083
18	3501806	Américo de Campos	244	População em Idade Escolar de 11 a 14 Anos: 244
19	3501905	Amparo	2881	População em Idade Escolar de 11 a 14 Anos: 2.881
20	3502002	Analândia	250	População em Idade Escolar de 11 a 14 Anos: 250
21	3502101	Andradina	2438	População em Idade Escolar de 11 a 14 Anos: 2.438
22	3502200	Angatuba	1257	População em Idade Escolar de 11 a 14 Anos: 1.257
23	3502309	Anhembi	374	População em Idade Escolar de 11 a 14 Anos: 374
24	3502408	Anhumas	185	População em Idade Escolar de 11 a 14 Anos: 185
25	3502507	Aparecida	1718	População em Idade Escolar de 11 a 14 Anos: 1.718
26	3502606	Aparecida d'Oeste	163	População em Idade Escolar de 11 a 14 Anos: 163
27	3502705	Apiaí	1321	População em Idade Escolar de 11 a 14 Anos: 1.321
28	3502804	Araçatuba	8302	População em Idade Escolar de 11 a 14 Anos: 8.302
29	3502903	Araçoiaba da Serra	1542	População em Idade Escolar de 11 a 14 Anos: 1.542
30	3503000	Aramina	234	População em Idade Escolar de 11 a 14 Anos: 234
31	3503109	Arandu	297	População em Idade Escolar de 11 a 14 Anos: 297
32	3503208	Araraquara	9624	População em Idade Escolar de 11 a 14 Anos: 9.624
33	3503307	Araras	5851	População em Idade Escolar de 11 a 14 Anos: 5.851
34	3503406	Arealva	352	População em Idade Escolar de 11 a 14 Anos: 352
35	3503505	Areias	210	População em Idade Escolar de 11 a 14 Anos: 210
36	3503604	Areiópolis	594	População em Idade Escolar de 11 a 14 Anos: 594
37	3503703	Ariranha	455	População em Idade Escolar de 11 a 14 Anos: 455
38	3503802	Artur Nogueira	2624	População em Idade Escolar de 11 a 14 Anos: 2.624
39	3503901	Arujá	4417	População em Idade Escolar de 11 a 14 Anos: 4.417
40	3504008	Assis	4584	População em Idade Escolar de 11 a 14 Anos: 4.584
41	3504107	Atibaia	6373	População em Idade Escolar de 11 a 14 Anos: 6.373
42	3504206	Auriflama	594	População em Idade Escolar de 11 a 14 Anos: 594
43	3504305	Avaí	270	População em Idade Escolar de 11 a 14 Anos: 270
44	3504404	Avanhandava	610	População em Idade Escolar de 11 a 14 Anos: 610
45	3504503	Avaré	4308	População em Idade Escolar de 11 a 14 Anos: 4.308
46	3504602	Bady Bassitt	743	População em Idade Escolar de 11 a 14 Anos: 743
47	3504701	Balbinos	72	População em Idade Escolar de 11 a 14 Anos: 72
48	3504800	Bálsamo	357	População em Idade Escolar de 11 a 14 Anos: 357
49	3504909	Bananal	560	População em Idade Escolar de 11 a 14 Anos: 560
50	3505005	Barão de Antonina	182	População em Idade Escolar de 11 a 14 Anos: 182
51	3505104	Barbosa	368	População em Idade Escolar de 11 a 14 Anos: 368
52	3505203	Bariri	1592	População em Idade Escolar de 11 a 14 Anos: 1.592
53	3505302	Barra Bonita	1435	População em Idade Escolar de 11 a 14 Anos: 1.435
54	3505401	Barra do Turvo	479	População em Idade Escolar de 11 a 14 Anos: 479
55	3505500	Barretos	5464	População em Idade Escolar de 11 a 14 Anos: 5.464
56	3505609	Barrinha	1862	População em Idade Escolar de 11 a 14 Anos: 1.862
57	3505708	Barueri	13454	População em Idade Escolar de 11 a 14 Anos: 13.454
58	3505807	Bastos	1020	População em Idade Escolar de 11 a 14 Anos: 1.020
59	3505906	Batatais	2715	População em Idade Escolar de 11 a 14 Anos: 2.715
60	3506003	Bauru	16619	População em Idade Escolar de 11 a 14 Anos: 16.619
61	3506102	Bebedouro	3408	População em Idade Escolar de 11 a 14 Anos: 3.408
62	3506201	Bento de Abreu	144	População em Idade Escolar de 11 a 14 Anos: 144
63	3506300	Bernardino de Campos	510	População em Idade Escolar de 11 a 14 Anos: 510
64	3506409	Bilac	266	População em Idade Escolar de 11 a 14 Anos: 266
65	3506508	Birigui	5470	População em Idade Escolar de 11 a 14 Anos: 5.470
66	3506607	Biritiba Mirim	1746	População em Idade Escolar de 11 a 14 Anos: 1.746
67	3506706	Boa Esperança do Sul	798	População em Idade Escolar de 11 a 14 Anos: 798
68	3506805	Bocaina	557	População em Idade Escolar de 11 a 14 Anos: 557
69	3506904	Bofete	575	População em Idade Escolar de 11 a 14 Anos: 575
70	3507001	Boituva	2839	População em Idade Escolar de 11 a 14 Anos: 2.839
71	3507100	Bom Jesus dos Perdões	1239	População em Idade Escolar de 11 a 14 Anos: 1.239
72	3507209	Borá	41	População em Idade Escolar de 11 a 14 Anos: 41
73	3507308	Boracéia	249	População em Idade Escolar de 11 a 14 Anos: 249
74	3507407	Borborema	681	População em Idade Escolar de 11 a 14 Anos: 681
75	3507506	Botucatu	6641	População em Idade Escolar de 11 a 14 Anos: 6.641
76	3507605	Bragança Paulista	7156	População em Idade Escolar de 11 a 14 Anos: 7.156
77	3507704	Braúna	262	População em Idade Escolar de 11 a 14 Anos: 262
78	3507803	Brodowski	1089	População em Idade Escolar de 11 a 14 Anos: 1.089
79	3507902	Brotas	1180	População em Idade Escolar de 11 a 14 Anos: 1.180
80	3508009	Buri	1207	População em Idade Escolar de 11 a 14 Anos: 1.207
81	3508108	Buritama	809	População em Idade Escolar de 11 a 14 Anos: 809
82	3508207	Buritizal	203	População em Idade Escolar de 11 a 14 Anos: 203
83	3508306	Cabrália Paulista	233	População em Idade Escolar de 11 a 14 Anos: 233
84	3508405	Cabreúva	2757	População em Idade Escolar de 11 a 14 Anos: 2.757
85	3508504	Caçapava	4542	População em Idade Escolar de 11 a 14 Anos: 4.542
86	3508603	Cachoeira Paulista	1619	População em Idade Escolar de 11 a 14 Anos: 1.619
87	3508702	Caconde	939	População em Idade Escolar de 11 a 14 Anos: 939
88	3508801	Cafelândia	810	População em Idade Escolar de 11 a 14 Anos: 810
