id	ibge	localidade	valor	label
680	680	Região Metropolitana da Baixada Santista	17.28	Participação da Rede Privada exceto Conveniadas no Total de Matrículas Iniciais na Pré-escola (Em %): 17,28
681	681	Região Metropolitana de São Paulo	15.32	Participação da Rede Privada exceto Conveniadas no Total de Matrículas Iniciais na Pré-escola (Em %): 15,32
696	696	Região Metropolitana de Campinas	14.95	Participação da Rede Privada exceto Conveniadas no Total de Matrículas Iniciais na Pré-escola (Em %): 14,95
697	697	Região Metropolitana do Vale do Paraíba e Litoral Norte	NA	Participação da Rede Privada exceto Conveniadas no Total de Matrículas Iniciais na Pré-escola (Em %): NA
