id	ibge	localidade	valor	label
1	3500105	Adamantina	350	Demanda potencial de vagas em pré-escola: 350
2	3500204	Adolfo	35	Demanda potencial de vagas em pré-escola: 35
3	3500303	Aguaí	473	Demanda potencial de vagas em pré-escola: 473
4	3500402	Águas da Prata	77	Demanda potencial de vagas em pré-escola: 77
607	3533254	Novais	79	Demanda potencial de vagas em pré-escola: 79
608	3536257	Parisi	23	Demanda potencial de vagas em pré-escola: 23
609	3537156	Pedrinhas Paulista	31	Demanda potencial de vagas em pré-escola: 31
610	3540259	Pontalinda	58	Demanda potencial de vagas em pré-escola: 58
611	3540754	Potim	249	Demanda potencial de vagas em pré-escola: 249
612	3543253	Ribeirão Grande	101	Demanda potencial de vagas em pré-escola: 101
613	3544251	Rosana	227	Demanda potencial de vagas em pré-escola: 227
614	3545159	Saltinho	73	Demanda potencial de vagas em pré-escola: 73
615	3549250	São João de Iracema	22	Demanda potencial de vagas em pré-escola: 22
616	3549953	São Lourenço da Serra	201	Demanda potencial de vagas em pré-escola: 201
617	3548054	Santo Antonio do Aracanguá	93	Demanda potencial de vagas em pré-escola: 93
618	3552551	Suzanápolis	49	Demanda potencial de vagas em pré-escola: 49
619	3553856	Taquarivaí	82	Demanda potencial de vagas em pré-escola: 82
620	3553955	Tarumã	203	Demanda potencial de vagas em pré-escola: 203
621	3554656	Torre de Pedra	26	Demanda potencial de vagas em pré-escola: 26
622	3554953	Tuiuti	66	Demanda potencial de vagas em pré-escola: 66
623	3555356	Ubarana	79	Demanda potencial de vagas em pré-escola: 79
624	3556354	Vargem	103	Demanda potencial de vagas em pré-escola: 103
625	3557154	Zacarias	27	Demanda potencial de vagas em pré-escola: 27
626	3503356	Arco Íris	20	Demanda potencial de vagas em pré-escola: 20
627	3507753	Brejo Alegre	28	Demanda potencial de vagas em pré-escola: 28
628	3509957	Canas	75	Demanda potencial de vagas em pré-escola: 75
629	3540853	Pracinha	21	Demanda potencial de vagas em pré-escola: 21
630	3541059	Pratânia	65	Demanda potencial de vagas em pré-escola: 65
631	3541653	Quadra	43	Demanda potencial de vagas em pré-escola: 43
632	3546256	Santa Cruz da Esperança	26	Demanda potencial de vagas em pré-escola: 26
633	3547650	Santa Salete	14	Demanda potencial de vagas em pré-escola: 14
634	3556958	Vitória Brasil	20	Demanda potencial de vagas em pré-escola: 20
635	3521150	Ipiguá	56	Demanda potencial de vagas em pré-escola: 56
636	3553658	Taquaral	31	Demanda potencial de vagas em pré-escola: 31
637	3515657	Fernão	18	Demanda potencial de vagas em pré-escola: 18
638	3516853	Gavião Peixoto	59	Demanda potencial de vagas em pré-escola: 59
639	3525854	Jumirim	34	Demanda potencial de vagas em pré-escola: 34
640	3532157	Nantes	40	Demanda potencial de vagas em pré-escola: 40
