id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	1303649	População em Idade Escolar de 11 a 14 Anos: 1.303.649
682	682	Região Administrativa de Registro	23261	População em Idade Escolar de 11 a 14 Anos: 23.261
683	683	Região Administrativa de Santos	106421	População em Idade Escolar de 11 a 14 Anos: 106.421
684	684	Região Administrativa de São José dos Campos	155104	População em Idade Escolar de 11 a 14 Anos: 155.104
685	685	Região Administrativa de Sorocaba	197737	População em Idade Escolar de 11 a 14 Anos: 197.737
686	686	Região Administrativa de Campinas	398328	População em Idade Escolar de 11 a 14 Anos: 398.328
687	687	Região Administrativa de Ribeirão Preto	79935	População em Idade Escolar de 11 a 14 Anos: 79.935
688	688	Região Administrativa de Bauru	69315	População em Idade Escolar de 11 a 14 Anos: 69.315
689	689	Região Administrativa de São José do Rio Preto	89567	População em Idade Escolar de 11 a 14 Anos: 89.567
690	690	Região Administrativa de Araçatuba	47681	População em Idade Escolar de 11 a 14 Anos: 47.681
691	691	Região Administrativa de Presidente Prudente	57460	População em Idade Escolar de 11 a 14 Anos: 57.460
692	692	Região Administrativa de Marília	64572	População em Idade Escolar de 11 a 14 Anos: 64.572
693	693	Região Administrativa Central	62290	População em Idade Escolar de 11 a 14 Anos: 62.290
694	694	Região Administrativa de Barretos	29760	População em Idade Escolar de 11 a 14 Anos: 29.760
695	695	Região Administrativa de Franca	48321	População em Idade Escolar de 11 a 14 Anos: 48.321
