id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	1308956	População de 11 a 14 Anos: 1.308.956
682	682	Região Administrativa de Registro	23111	População de 11 a 14 Anos: 23.111
683	683	Região Administrativa de Santos	108914	População de 11 a 14 Anos: 108.914
684	684	Região Administrativa de São José dos Campos	155045	População de 11 a 14 Anos: 155.045
685	685	Região Administrativa de Sorocaba	198762	População de 11 a 14 Anos: 198.762
686	686	Região Administrativa de Campinas	397099	População de 11 a 14 Anos: 397.099
687	687	Região Administrativa de Ribeirão Preto	79435	População de 11 a 14 Anos: 79.435
688	688	Região Administrativa de Bauru	68054	População de 11 a 14 Anos: 68.054
689	689	Região Administrativa de São José do Rio Preto	85940	População de 11 a 14 Anos: 85.940
690	690	Região Administrativa de Araçatuba	45938	População de 11 a 14 Anos: 45.938
691	691	Região Administrativa de Presidente Prudente	54858	População de 11 a 14 Anos: 54.858
692	692	Região Administrativa de Marília	62332	População de 11 a 14 Anos: 62.332
693	693	Região Administrativa Central	60320	População de 11 a 14 Anos: 60.320
694	694	Região Administrativa de Barretos	27924	População de 11 a 14 Anos: 27.924
695	695	Região Administrativa de Franca	47731	População de 11 a 14 Anos: 47.731
