id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	1307810	População de 11 a 14 Anos: 1.307.810
682	682	Região Administrativa de Registro	23220	População de 11 a 14 Anos: 23.220
683	683	Região Administrativa de Santos	107757	População de 11 a 14 Anos: 107.757
684	684	Região Administrativa de São José dos Campos	155280	População de 11 a 14 Anos: 155.280
685	685	Região Administrativa de Sorocaba	198550	População de 11 a 14 Anos: 198.550
686	686	Região Administrativa de Campinas	398180	População de 11 a 14 Anos: 398.180
687	687	Região Administrativa de Ribeirão Preto	79790	População de 11 a 14 Anos: 79.790
688	688	Região Administrativa de Bauru	68750	População de 11 a 14 Anos: 68.750
689	689	Região Administrativa de São José do Rio Preto	87834	População de 11 a 14 Anos: 87.834
690	690	Região Administrativa de Araçatuba	46852	População de 11 a 14 Anos: 46.852
691	691	Região Administrativa de Presidente Prudente	56230	População de 11 a 14 Anos: 56.230
692	692	Região Administrativa de Marília	63501	População de 11 a 14 Anos: 63.501
693	693	Região Administrativa Central	61346	População de 11 a 14 Anos: 61.346
694	694	Região Administrativa de Barretos	28854	População de 11 a 14 Anos: 28.854
695	695	Região Administrativa de Franca	48065	População de 11 a 14 Anos: 48.065
